username,nome_completo,verificado,url_foto_perfil,status_relacao,bio,n_publicacoes,n_seguidores,n_seguindo,link_externo,verificado,status_conta
elianetreinadora,elianetreinadora,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/505139508_17914343052131458_1032695832295115189_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=110&_nc_oc=Q6cZ2QE3oVSYbwzpPZgtbPqA3tcsrH1TyhwdK66lwBojgvtujkxA_rzfjyKidJpC2I6CC78&_nc_ohc=p7zfR7ZOX4kQ7kNvwFvRItB&_nc_gid=ZqNcP-cVOPwmgVJbR9PIGQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQ6Azhw6ro0VU-iv40J2aiCxmi6oJP4WzFpl-mD7WTk_g&oe=688353D0&_nc_sid=6ff7c8,Seguir,elianetreinadora elianetreinadora 6 275 241 6 6 275 275 241 241 Eliane Treinadora | Educadora Física Coach ... mais mais wa.me/5563993039518,6,6,275,,False,Pública
queridadatapso__,queridadatapso__,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/306455232_1509760616207885_6247901311427194626_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QE3oVSYbwzpPZgtbPqA3tcsrH1TyhwdK66lwBojgvtujkxA_rzfjyKidJpC2I6CC78&_nc_ohc=NWWgXB2Ie5MQ7kNvwGAVQwY&_nc_gid=ZqNcP-cVOPwmgVJbR9PIGQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQ6jvMvkLKrdaHkRwl2oRZl6T4S-l8Zjrtr_nCgSUC0jQ&oe=68835AFB&_nc_sid=6ff7c8,Seguir,queridadatapso__ queridadatapso__ 295 1.927 2.364 295 295 1.927 1.927 2.364 2.364 Querida Data ... mais mais api.whatsapp.com/send?phone=556392780198,295,295,1927,https://www.threads.com/@queridadatapso__?xmt=AQF0x6NN9EANw-ZepHoUmHTsKgnmLGCljOgpE2ibZjcrfyE,False,Pública
dra.carolcabrall,dra.carolcabrall,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/487475948_1720553112203426_3808774646998561192_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QE3oVSYbwzpPZgtbPqA3tcsrH1TyhwdK66lwBojgvtujkxA_rzfjyKidJpC2I6CC78&_nc_ohc=MVi6vcHv27QQ7kNvwGGimht&_nc_gid=ZqNcP-cVOPwmgVJbR9PIGQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQb9A055cc8FNxxeVGGq4NVsnIZYpGi8egkbZc_DY2Hxw&oe=68834D66&_nc_sid=6ff7c8,Seguir,"dra.carolcabrall dra.carolcabrall 398 13,7 mil 1.715 398 398 13,7 mil 13,7 mil 1.715 1.715 Carol Cabral | Harmonização Facial • Realço sua beleza com naturalidade através do meu #MétodoCabral® 🦋 • Paraíso e Palmas-TO | CROTO 4367 • Consultas e... mais • Realço sua beleza com naturalidade através do meu #MétodoCabral® 🦋 • Paraíso e Palmas-TO | CROTO 4367 • Consultas e ... mais mais linktr.ee/dra.carolcabral",398,398,13700,,False,Pública
anapaulaomota,anapaulaomota,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/487671580_1078972743968251_3378414950408931063_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QE3oVSYbwzpPZgtbPqA3tcsrH1TyhwdK66lwBojgvtujkxA_rzfjyKidJpC2I6CC78&_nc_ohc=rcSh4mhDihAQ7kNvwETdEP7&_nc_gid=ZqNcP-cVOPwmgVJbR9PIGQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTJmllJoxdikvM_aPRSOOZnOjFOlfY0rIVEalA33bblcA&oe=68834CE7&_nc_sid=6ff7c8,Seguir,,0,0,0,,False,Erro de carregamento
adrianataflafemachado,adrianataflafemachado,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/520696275_17887405554317336_3062622741668073234_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QE3oVSYbwzpPZgtbPqA3tcsrH1TyhwdK66lwBojgvtujkxA_rzfjyKidJpC2I6CC78&_nc_ohc=s_48Z9ZZGdYQ7kNvwFmfSDm&_nc_gid=ZqNcP-cVOPwmgVJbR9PIGQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSGPtKXPyYeBvet88G4-K1tBmSP2sGOBN2OwWqYIn0vfw&oe=68836995&_nc_sid=6ff7c8,Seguir,,0,0,0,,False,Erro de carregamento
surgiunews,surgiunews,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/481763536_638009208729999_2781470985625386578_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QE3oVSYbwzpPZgtbPqA3tcsrH1TyhwdK66lwBojgvtujkxA_rzfjyKidJpC2I6CC78&_nc_ohc=fLFpSBW-18IQ7kNvwFVBsWa&_nc_gid=ZqNcP-cVOPwmgVJbR9PIGQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRk7MnQ_xvXRyFhX9nwA_58-9a17KYJBNztVGgxKCc8yQ&oe=68836FB5&_nc_sid=6ff7c8,Seguir,,0,0,0,,False,Erro de carregamento
precobaixopso,precobaixopso,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/497346030_18073669780849533_1263429659608392257_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QHBaGOyLE3o_LFUNmuVObeflHWcrZLBuz7tthkQLC9gh0jNXelfvDYLAQOsX15YGic&_nc_ohc=FQQ8HIylrgEQ7kNvwH--vaO&_nc_gid=0jxrkZJoX0HwIeK48R9Y0Q&edm=APoiHPcBAAAA&ccb=7-5&oh=00_AfRkKcLwn3YsLPbwm_0chMWGthfGrwY7Y6m_NT6Ciot6qw&oe=688350C7&_nc_sid=22de04,Seguir,,0,0,0,,False,Erro de carregamento
thaisemarques_,thaisemarques_,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/476094087_1133874278460594_3247624352905281617_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=106&_nc_oc=Q6cZ2QE3oVSYbwzpPZgtbPqA3tcsrH1TyhwdK66lwBojgvtujkxA_rzfjyKidJpC2I6CC78&_nc_ohc=3Qw3BvYOML0Q7kNvwHG34bc&_nc_gid=ZqNcP-cVOPwmgVJbR9PIGQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTbfh1s_duis5oFHiFlFTWQ7cXDE2qqhP3b69Se19dHgg&oe=68836755&_nc_sid=6ff7c8,Seguir,,0,0,0,,False,Erro de carregamento
tainaraavelino_,tainaraavelino_,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/482156236_1141116720607298_828923854885117252_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QE3oVSYbwzpPZgtbPqA3tcsrH1TyhwdK66lwBojgvtujkxA_rzfjyKidJpC2I6CC78&_nc_ohc=6RTsZ1_8ahEQ7kNvwHu64bN&_nc_gid=ZqNcP-cVOPwmgVJbR9PIGQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQkn581UHbkUwQqTGP8H__OeH4B9NZbuP0pkMhx2t3Z7Q&oe=68836ED9&_nc_sid=6ff7c8,Seguir,,0,0,0,,False,Erro de carregamento
imaculada.conceicao,imaculada.conceicao,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/454387990_1050046963375353_2238779484707322821_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QE3oVSYbwzpPZgtbPqA3tcsrH1TyhwdK66lwBojgvtujkxA_rzfjyKidJpC2I6CC78&_nc_ohc=Ld5P1LI--n4Q7kNvwHvB5gI&_nc_gid=ZqNcP-cVOPwmgVJbR9PIGQ&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTj2YhFDvobmXFmGklrZ5HNH5jqhJ27Um_3SZ_urHq5LQ&oe=688373F4&_nc_sid=6ff7c8,Seguir,,0,0,0,,False,Erro de carregamento
