username,nome_completo,verificado,url_foto_perfil,status_relacao,bio,n_publicacoes,n_seguidores,n_seguindo,link_externo,verificado,status_conta
kesia_karolyne.01,kesia_karolyne.01,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/499714338_18075462097861550_2270509999866824600_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QHtpTWjQ6seaD4uvdzfpEw2Rkk8p2jKIZpqQXKxlYpcZ3vXqWPP67XSMtEM3WTGCvM&_nc_ohc=Mr_69GfmRVUQ7kNvwHPhqrT&_nc_gid=tpiOAXgP0kfWUgeWuBgiFA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRxUPUuzWyesiwtOgvZVnxyCeojy8R_WERKfx7J5wgHqg&oe=6882A676&_nc_sid=6ff7c8,Seguir,"kesia_karolyne.01 8 8 3.863 3.863 990 990 Késia Karolyne 📍TO Seguido(a) por sofiasoaresduarte, laisagabriela_ e itz.laur4._ sofiasoaresduarte laisagabriela_ itz.laur4._ 🌱🐴 🤍 me GYM Expobrasil 2023 📸 🌱🐴 🤍 me GYM Expobrasil 2023 📸",8,8,3863,,False,Pública
olga.maria.mi,olga.maria.mi,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/518531722_17913571512138480_5604363341946935904_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QHtpTWjQ6seaD4uvdzfpEw2Rkk8p2jKIZpqQXKxlYpcZ3vXqWPP67XSMtEM3WTGCvM&_nc_ohc=9Q8-Ml67Fg8Q7kNvwFB83QP&_nc_gid=tpiOAXgP0kfWUgeWuBgiFA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQRLGcIaVDIopE5T15CWTMmt4ouXkFKDET-JNcNQX2bUw&oe=6882AAF3&_nc_sid=6ff7c8,Seguir,olga.maria.mi 34 34 973 973 1.191 1.191 Olga Maria Mendes Inchausti Seguido(a) por marcia10viana17 e esc.raiodesol marcia10viana17 esc.raiodesol . . . 🤍 . . 🤍,34,34,973,https://www.threads.com/@olga.maria.mi?xmt=AQF0gBYxWV51FoaxI147qqjtymddr8ytE34zJQBsgf_ui64,False,Pública
nelimunizz,nelimunizz,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/495445992_17931464946046695_8080652782569244286_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QHtpTWjQ6seaD4uvdzfpEw2Rkk8p2jKIZpqQXKxlYpcZ3vXqWPP67XSMtEM3WTGCvM&_nc_ohc=AkFm_640bfkQ7kNvwHNyreP&_nc_gid=tpiOAXgP0kfWUgeWuBgiFA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSk2Oct12G-GNXKIj58W9djt5Qh1wrV6Js_iCr7tP44_w&oe=6882B60C&_nc_sid=6ff7c8,Seguir,nelimunizz 44 44 174 174 219 219 Geladinho _gourmet _Tia _Neli Variedades dos produtos do campo 🥬🍗 Quarta; Sábado e Domingo 🗓️ Vendas online aqui ⬇️ api.whatsapp.com/send?phone=5563984247610&text=Bem+vindo+a+Banca+da+Tia+Neli%21,44,44,174,,False,Pública
iig.mel,iig.mel,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/511456523_17891977824257569_1615264329726806150_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QHtpTWjQ6seaD4uvdzfpEw2Rkk8p2jKIZpqQXKxlYpcZ3vXqWPP67XSMtEM3WTGCvM&_nc_ohc=e52kq9AvO8QQ7kNvwGhEGz3&_nc_gid=tpiOAXgP0kfWUgeWuBgiFA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRNspw22VlVTA5zq5823JsA9TVBS9WcOf72SEowVI30hw&oe=6882A791&_nc_sid=6ff7c8,Seguir,iig.mel 0 0 315 315 624 624 ★-𝐌ᥱᥣ,0,0,315,https://www.threads.com/@iig.mel?xmt=AQF0oyapgTe7d0lAuLZGFX6hySWs9YfCvVcPQ0iygEfzi1c,False,Pública
ranchomgpso,ranchomgpso,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/427419531_1120854095766875_5796790443379768407_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QHtpTWjQ6seaD4uvdzfpEw2Rkk8p2jKIZpqQXKxlYpcZ3vXqWPP67XSMtEM3WTGCvM&_nc_ohc=5_UADIh9-egQ7kNvwGLwSJ9&_nc_gid=tpiOAXgP0kfWUgeWuBgiFA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTx8zs8acFqy4c07ws-Gg75Zntit-kA-KmL_EimvNnFZw&oe=6882BAC7&_nc_sid=6ff7c8,Seguir,"ranchomgpso 150 150 27,4 mil 27,4 mil 479 479 Rancho MG 🐎 📍Paraíso do Tocantins 🐎11ª Festa do Peão do Rancho MG 🥇07 a 10 de Maio de 2026! 📸 Link das fotos 👇🏻 banlek.com/album/f9ce9 Seguido(a) por rezende_nubia, lu_assuncaocorreia e outras 16 pessoas rezende_nubia lu_assuncaocorreia Edição 2025 Patrocínio Edição 21/22 Edição 2020 Edição 2025 Patrocínio Edição 21/22 Edição 2020",150,150,27400,https://www.threads.com/@ranchomgpso?xmt=AQF0fYmpbTdA_CLCCyttiIwKE1lxs3ucjI56y_MDFeDltp8,False,Pública
petalie_locacoes,petalie_locacoes,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/501379784_17847558771482281_3198520615631868129_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QHtpTWjQ6seaD4uvdzfpEw2Rkk8p2jKIZpqQXKxlYpcZ3vXqWPP67XSMtEM3WTGCvM&_nc_ohc=l9VJSgGaYtoQ7kNvwHuMry2&_nc_gid=tpiOAXgP0kfWUgeWuBgiFA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRZUHoByrAKbecjM2V5LxQok8sLsffxew9TJ7tvmm0YPQ&oe=6882A934&_nc_sid=6ff7c8,Seguir,"petalie_locacoes 10 10 205 205 44 44 Petaliē Locações - Vestidos de Noiva e Festa ❃ Seu momento ainda mais inesquecível! ➺ Rua Bernadino Maciel, 310, Centro - Paraíso do Tocantins. ✦ 63 98417-6111 |... mais ❃ Seu momento ainda mais inesquecível! ➺ Rua Bernadino Maciel, 310, Centro - Paraíso do Tocantins. ✦ 63 98417-6111 | ... mais mais Seguido(a) por sofiasoaresduarte sofiasoaresduarte",10,10,205,,False,Pública
janiliateles,janiliateles,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/292389589_753206132497271_2484685286771929963_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=111&_nc_oc=Q6cZ2QHtpTWjQ6seaD4uvdzfpEw2Rkk8p2jKIZpqQXKxlYpcZ3vXqWPP67XSMtEM3WTGCvM&_nc_ohc=nlOyU2yGWCsQ7kNvwHyUDbG&_nc_gid=tpiOAXgP0kfWUgeWuBgiFA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQ8BRpfb0AguohLwLBKy715ZjYZKDOS8gbm0vbCVzlRwg&oe=68828CDD&_nc_sid=6ff7c8,Seguir,janiliateles 443 443 7.330 7.330 2.747 2.747 Janilia Glausia Teles Empreendedor(a) www.brilhants.com.br e mais 1 Seguido(a) por suzana_saraujo e cesfapalmas suzana_saraujo cesfapalmas,443,443,7330,https://www.threads.com/@janiliateles?xmt=AQF0ATRVbL_RyPSGVPonBDPvJCT9YG0PlssRlCK1zVgNFik,False,Pública
samarakelly4265,samarakelly4265,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/504501985_17873033436368821_6926456782904878103_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QHtpTWjQ6seaD4uvdzfpEw2Rkk8p2jKIZpqQXKxlYpcZ3vXqWPP67XSMtEM3WTGCvM&_nc_ohc=-IZkz54UtKEQ7kNvwFXEB1q&_nc_gid=tpiOAXgP0kfWUgeWuBgiFA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQjKmgErQNy6YXiIKizvjkcZ0LUY1c5hZk6dJMDQ3heqw&oe=68829957&_nc_sid=6ff7c8,Seguir,samarakelly4265 8 8 373 373 652 652 Samara kelly 💃 ❤️ 🍻 💖 📸 🫶🏻 💃 ❤️ 🍻 💖 📸 🫶🏻,8,8,373,,False,Pública
maria_araujo.rosa,maria_araujo.rosa,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/514776503_18367291921177157_7559664406274135418_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QHtpTWjQ6seaD4uvdzfpEw2Rkk8p2jKIZpqQXKxlYpcZ3vXqWPP67XSMtEM3WTGCvM&_nc_ohc=ftEk-LqiOPEQ7kNvwE73h6d&_nc_gid=tpiOAXgP0kfWUgeWuBgiFA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQlE7dVbKDsY3BtrGJ1blJjPu7wK0QOOKGIyZ5f1eZUWQ&oe=6882B762&_nc_sid=6ff7c8,Seguir,maria_araujo.rosa 22 22 1.300 1.300 926 926 Maria Eduarda Araujo da Rosa •Fonoaudiologia 5/8 🩺 • Romanos 8:16 ❤️‍🔥 •063 Seguido(a) por jordanalogradoo e laisagabriela_ jordanalogradoo laisagabriela_,22,22,1300,,False,Pública
aghta_liaa,aghta_liaa,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/505803755_17848538844486888_3066317332823851574_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QHtpTWjQ6seaD4uvdzfpEw2Rkk8p2jKIZpqQXKxlYpcZ3vXqWPP67XSMtEM3WTGCvM&_nc_ohc=b9_iG09F96sQ7kNvwHRnxsn&_nc_gid=tpiOAXgP0kfWUgeWuBgiFA&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQ-6p-4Mv85O4Y3bthOvE6KTkFrkzSyHPTgh0wwS4IpSw&oe=68828953&_nc_sid=6ff7c8,Seguir,aghta_liaa 2 2 241 241 321 321 Aghta lia TO 📍 Acadêmica em biomedicina🔬 Aghta lia TO 📍 Acadêmica em biomedicina🔬 👩🏻‍🦱 💍 👩🏻‍🦱 💍,2,2,241,,False,Pública
