username,nome_completo,verificado,url_foto_perfil,status_relacao,bio,n_publicacoes,n_seguidores,n_seguindo,link_externo,verificado,status_conta
reuviaoliveira,reuviaoliveira,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/475973392_982948297041733_4969522693837561615_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MjAuYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QFmxM_kFmEHqqxnD-Zwd4XAcvi32lVYdC4j2sLthBK2f67kljTRQQVUw5lzfF6p760&_nc_ohc=-SeceqWKLhoQ7kNvwEk6KE8&_nc_gid=8Dpowm65L59GnogF37siLg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSsh3dq_6z0WeCbiU8jtIUQ7QpE8BmVWynX73jaklWvKg&oe=688DEF4D&_nc_sid=6ff7c8,Seguir,reuviaoliveira 1 1 28 28 54 54 Reuvia,1,1,28,,False,Pública
samueltolvai,samueltolvai,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/499510126_18057544802517697_8876568221734149059_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QFmxM_kFmEHqqxnD-Zwd4XAcvi32lVYdC4j2sLthBK2f67kljTRQQVUw5lzfF6p760&_nc_ohc=KInsJcn3ctwQ7kNvwEq4fN7&_nc_gid=8Dpowm65L59GnogF37siLg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfRZ6c5bd3DDZkMh_pUUqj5-dYRSeDuRtNQrxPIoYHx-ug&oe=688DD7E0&_nc_sid=6ff7c8,Seguir,samueltolvai 3 3 238 238 318 318 samuel 🇧🇷 Eu😶‍🌫️ 🌤️ sp início 😶 tereré Eu😶‍🌫️ 🌤️ sp início 😶 tereré,3,3,238,,False,Pública
patyraquel.antony,patyraquel.antony,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/460687326_1203615500892796_2461626149652598373_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QFmxM_kFmEHqqxnD-Zwd4XAcvi32lVYdC4j2sLthBK2f67kljTRQQVUw5lzfF6p760&_nc_ohc=ZFIV5_0W1A0Q7kNvwFLCTq1&_nc_gid=8Dpowm65L59GnogF37siLg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQ5_T6_F7LqkII9jXco19eP5SV1cwYevqjL7_ULpanrwg&oe=688DE9C1&_nc_sid=6ff7c8,Seguir,patyraquel.antony 11 11 137 137 459 459 Paty.Antony Vila Rica/MT Nós ❤️,11,11,137,https://www.threads.com/@patyraquel.antony?xmt=AQF0TgvXBfnaZ7D3Pl3pF9Ee-9VjDfNM1_2VJ3WcQBn2lns,False,Pública
luciananevesln,luciananevesln,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/505781105_17848559442486549_1139989713421965723_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby43MTEuYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=109&_nc_oc=Q6cZ2QFmxM_kFmEHqqxnD-Zwd4XAcvi32lVYdC4j2sLthBK2f67kljTRQQVUw5lzfF6p760&_nc_ohc=_CPJDTKqxsgQ7kNvwHo8wfS&_nc_gid=8Dpowm65L59GnogF37siLg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSQwFxcPC83Hl6bbLQ7tTZFilN9m1ynwd_Ps3tA5lFA3A&oe=688DDEB0&_nc_sid=6ff7c8,Seguir,bio.site/lucianapneves luciananevesln 15 15 35 35 63 63 Luciana Neves | Tráfego Pago 🎯 Tráfego Pago & Instagram Estratégico 🧠 Posicionamento que gera autoridade ✨ Estruturo perfis que atraem e convertem... mais 🎯 Tráfego Pago & Instagram Estratégico 🧠 Posicionamento que gera autoridade ✨ Estruturo perfis que atraem e convertem ... mais mais Feedback Clientes Bastidores Reunião Feedback Clientes Bastidores Reunião,15,15,35,,False,Pública
hai_dy1924,hai_dy1924,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/496824794_17842226613489349_7969453621428982085_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDI0LmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QFmxM_kFmEHqqxnD-Zwd4XAcvi32lVYdC4j2sLthBK2f67kljTRQQVUw5lzfF6p760&_nc_ohc=sxcUqhs76e4Q7kNvwGQqcGd&_nc_gid=8Dpowm65L59GnogF37siLg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSriviI8ENRT8ijS_q_JmwD45mDkTs3EY4CWVEFfzNBEw&oe=688DF758&_nc_sid=6ff7c8,Seguir,hai_dy1924 95 95 231 231 427 427 Amor/Saúde/Prosperidade/ Cristã 💞 #Deus em primeiro lugar/Família/Madrinha de; Guilherme/Lucas/lays/Luana/Agatha/ Pet... mais Amor/Saúde/Prosperidade/ Cristã 💞 #Deus em primeiro lugar/Família/Madrinha de; Guilherme/Lucas/lays/Luana/Agatha/ Pet ... mais mais,95,95,231,https://www.threads.com/@hai_dy1924?xmt=AQF0m742Y-ZScLwy0z9PXTzyyTZ8TgK6H0YzwQ4SlhGhHqk,False,Pública
dezcontabilidade,dezcontabilidade,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/458166317_1553744305570528_3791029596734810215_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44NjguYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QGyx98Tv7zuCt9STrMFcetJasCFod0r5CLq2d4_UyJIiqKVsN6rvjXNctazhnRrR60&_nc_ohc=mXqtLvz1f_sQ7kNvwFvHR9I&_nc_gid=CDzryKPUGf_l4lYybW0pSw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQkKo3X9C1uFe7yCQkMP5UiAWJC_WMAZdSxdZehGwjwAA&oe=688DCFD8&_nc_sid=6ff7c8,Seguir,"dezcontabilidade.agenciamegamix.com.br dezcontabilidade 39 39 665 665 674 674 Dez Contabilidade Serviço de contabilidade Contabilidade em Palmas/TO 📍 ➡️ Reduza impostos, simplifique sua gestão e aumente seus lucros com a nossa assessoria! 📲... mais Contabilidade em Palmas/TO 📍 ➡️ Reduza impostos, simplifique sua gestão e aumente seus lucros com a nossa assessoria! 📲 ... mais mais CLIENTES Destaques SERVIÇOS CLIENTES Destaques SERVIÇOS",39,39,665,,False,Pública
boliveira_12,boliveira_12,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/505782731_17845149720504992_6478182782763569984_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QGyx98Tv7zuCt9STrMFcetJasCFod0r5CLq2d4_UyJIiqKVsN6rvjXNctazhnRrR60&_nc_ohc=5RRk2kpcp8kQ7kNvwFryjaX&_nc_gid=CDzryKPUGf_l4lYybW0pSw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfSOXYxOXKsVDc9pjYUK4t5WSy8qM1AKyJtOdbJkZgYVWA&oe=688DD3A5&_nc_sid=6ff7c8,Seguir,boliveira_12 0 0 40 40 202 202 Bruno Oliveira 🤑🔥🍁 amor 😍 🤑🔥🍁 amor 😍,0,0,40,,False,Pública
beatriz___010,beatriz___010,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/524632215_17932646601073742_778288910206341140_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby44NDkuYzIifQ&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QFmxM_kFmEHqqxnD-Zwd4XAcvi32lVYdC4j2sLthBK2f67kljTRQQVUw5lzfF6p760&_nc_ohc=--I4M3rFXgIQ7kNvwHXrdLS&_nc_gid=8Dpowm65L59GnogF37siLg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfTWamuGBso3FITX-eYIAb2Ahu53WPyE6ugJ3med_zu0PA&oe=688DE1E5&_nc_sid=6ff7c8,Seguir,beatriz___010 8 8 1.305 1.305 488 488 Beatriz✨ - Deus marcou o tempo certo para cada propósito.✨ -2025 💖🙏🤍🏋️🥂💸🧿❤️🔐 - 2002 ||📍filadélfia-To🔁 palmas-To!... mais Beatriz✨ - Deus marcou o tempo certo para cada propósito.✨ -2025 💖🙏🤍🏋️🥂💸🧿❤️🔐 - 2002 ||📍filadélfia-To🔁 palmas-To!... mais - Deus marcou o tempo certo para cada propósito.✨ -2025 💖🙏🤍🏋️🥂💸🧿❤️🔐 - 2002 ||📍filadélfia-To🔁 palmas-To! ... mais mais my love!💖 🧿🙏🏠 📸 workouts! my love!💖 🧿🙏🏠 📸 workouts!,8,8,1305,,False,Pública
ana_campost_,ana_campost_,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/495209086_18061799342026735_23113384378870531_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QGyx98Tv7zuCt9STrMFcetJasCFod0r5CLq2d4_UyJIiqKVsN6rvjXNctazhnRrR60&_nc_ohc=ijyag2YpypsQ7kNvwG3aBNW&_nc_gid=CDzryKPUGf_l4lYybW0pSw&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQvDQproIJt2nTGO5-21G8nOcpqq5818s8uoLPKT6opDw&oe=688DD651&_nc_sid=6ff7c8,Seguir,ana_campost_ 16 16 1.884 1.884 409 409 Ana Joelma 📚| Nutrição 📍| Tocantins Ana Joelma 📚| Nutrição 📍| Tocantins 💪😔 🤌 AJ 🥝🍓📚 🫶 <3 😋 💪😔 🤌 AJ 🥝🍓📚 🫶 <3 😋,16,16,1884,,False,Pública
edria.kedma,edria.kedma,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/458437357_363069836858672_3002386685584344561_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=108&_nc_oc=Q6cZ2QFmxM_kFmEHqqxnD-Zwd4XAcvi32lVYdC4j2sLthBK2f67kljTRQQVUw5lzfF6p760&_nc_ohc=Rh0ue3KzLlgQ7kNvwF-6Zs-&_nc_gid=8Dpowm65L59GnogF37siLg&edm=APQMUHMBAAAA&ccb=7-5&oh=00_AfQ1BbtBFRtJa6IPc-JQlJyGbySMxl4O57x6gsRiFldd8w&oe=688DD675&_nc_sid=6ff7c8,Seguir,edria.kedma 54 54 8.117 8.117 690 690 Édria Kedma B. Oliveira ㅤ ㅤ ­ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ㅤ ­,54,54,8117,,False,Pública
