username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
silvazs._clari,Silvazs._Clari,silvazs._clari CLARISSE O amor me amou João 3: -Cristã - CE CLARISSE O amor me amou João 3: -Cristã - CE me me,43,43,993,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,43,Iniciante,993,,CE,Pessoa / Criador,Não,Indefinido
pedrolucasxtkd,Pedrolucasxtkd,"pedrolucasxtkd 4 4 Pedro Lucas Xavier Jogos Escolares Melhores do ano treino-explosão Copa- CE, Jogos Escolares Melhores do ano treino-explosão Copa- CE,",4,4,168,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,4,Iniciante,168,,CE,Empresa / Comércio,Não,Indefinido
fecet.ce,Fecet.Ce,fecet.ce 2. 2. FECET Esportes e recreação ... mais mais fecet.com.br e mais 1 Fotos Copa Impac Equipes filiadas Fecet oficial Certific.FECET Charge da Fecet Grand Slam . MELHOR DO ANO Fotos Copa Impac Equipes filiadas Fecet oficial Certific.FECET Charge da Fecet Grand Slam . MELHOR DO ANO,776,776,2483,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,4,,False,Pública,776,Iniciante,2483,,CE,Empresa / Comércio,Não,Indefinido
tubarao_tkd,Tubarao_Tkd,tubarao_tkd 1. 1. tubas Atleta tkd PB PE DF CE RJ MA tkd PB PE DF CE RJ MA,13,13,1885,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,13,Iniciante,1885,,CE,Pessoa / Criador,Não,Indefinido
atleta.jose.ribeiro,Atleta.Jose.Ribeiro,atleta.jose.ribeiro 1. 1. 1. 1. Atleta Jose Guilherme Atleta GOD IS MY LIFE Seleção cearense Brasileiro¹¹ Open-nacional¹³² Estadu... mais GOD IS MY LIFE Seleção cearense Brasileiro¹¹ Open-nacional¹³² Estadu ... mais mais drive.google.com/file/d/1aZ5WKyqb5Vp7LHGFLxF0L9RQXysTVHuq/view?usp=drivesdk Treinos Brasileiro CE Mossoró RN Treinos Brasileiro CE Mossoró RN,173,173,1234,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,173,Iniciante,1234,,CE,Pessoa / Criador,Não,Indefinido
ritacassia_taekwondo,Ritacassia_Taekwondo,ritacassia_taekwondo Atleta Taekwondo | Professora Atleta Rita Cássia |Taekwondo |Faixa Preta Medalhista Nacional Representando a Seleção CE ‍ Professora drive.google.com/file/d/11PqEJehi9kwqM-hk5oYT8rKObieR4BBB/view?usp=drivesdk dicas poomsae biblioteca SANA Eu Open - Maranhão Eventos Jiu-jitsu dicas poomsae biblioteca SANA Eu Open - Maranhão Eventos Jiu-jitsu,68,68,552,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,8,,False,Pública,68,Iniciante,552,,CE,Pessoa / Criador,Não,Indefinido
thalison.tkd,Thalison.Tkd,"thalison.tkd 1. 1. •°- ATLETA DE TAEKWONDO DA ACADEMIA ""CTAM FOX"" •1× regional •2× maranhense •1× ... mais •°- ATLETA DE TAEKWONDO DA ACADEMIA ""CTAM FOX"" •1× regional •2× maranhense •1× ... mais •°- ATLETA DE TAEKWONDO DA ACADEMIA ""CTAM FOX"" •1× regional •2× maranhense •1× ... mais mais Taekwondo João pessoa-PB Fortaleza - CE Taekwondo João pessoa-PB Fortaleza - CE",15,15,1191,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,,False,Pública,15,Iniciante,1191,Fortaleza,CE,Pessoa / Criador,Não,Indefinido
alineguido_,Alineguido_,alineguido_ 1. 1. Aline Guido | Designer Designer ... mais mais beacons.ai/alineguido Fortaleza CE ‍ JOBS IDV COMECE POR AQUI FAQ Drawings Fortaleza CE ‍ JOBS IDV COMECE POR AQUI FAQ Drawings,123,123,1488,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,https://www.threads.com/@alineguido_?xmt=AQF0D48qKP_v4cmYkrrFR1HK1efxhqAsV35w9-I2HRLZpQY,False,Pública,123,Iniciante,1488,Fortaleza,CE,Pessoa / Criador,Não,Indefinido
kzdi__,Kzdi__,kzdi__ 4 4 1. 1. Di CE ( Atleta de Judô e Karatê ) RN RN,4,4,623,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,https://www.threads.com/@kzdi__?xmt=AQF0b50y6RDF9ONLI6YExnVVsLDuq2N8TPEQ0nniuNpUuuA,False,Pública,4,Iniciante,623,,CE,Pessoa / Criador,Não,Indefinido
rafael__tkd,Rafael__Tkd,rafael__tkd 8 8 1. 1. Rafael Nascimento Atleta Brasília Atleta de alto rendimento bi campeão brasileiro APM GS²⁵ fetab grand²⁴ copa do Brasil²⁴ Fortaleza-ce brasileiro ²⁴ APM GS²⁵ fetab grand²⁴ copa do Brasil²⁴ Fortaleza-ce brasileiro ²⁴,8,8,1269,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,https://www.threads.com/@rafael__tkd?xmt=AQF0qVxZpiDvFuKK-5PSFpBzQQTtjaptkVeoNA6BsA7fy-8,False,Pública,8,Iniciante,1269,Fortaleza,CE,Pessoa / Criador,Não,Indefinido
doenitz98,Doenitz98,doenitz98 4 4 3. 3. Carlos Doenitz Gamer anos Fortaleza-CE Stream Eu Aracati Paraíba Natal Halleluya Eu Aracati Paraíba Natal Halleluya,4,4,776,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,,False,Pública,4,Iniciante,776,Fortaleza,CE,Pessoa / Criador,Não,Indefinido
akrocha__tkd,Akrocha__Tkd,akrocha__tkd 1. 1. Alana Kelly Atleta RJ MA PB CE PE tkd. . RJ MA PB CE PE tkd. .,57,57,1689,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,57,Iniciante,1689,,CE,Pessoa / Criador,Não,Indefinido
