username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
johnnylucastkd,Johnnylucastkd,johnnylucastkd 3 3 Johnny lucas Taekwondo 🟢 Campeão PE Poomsae Pe dupla Nordeste Nordeste dupla Johnny lucas Taekwondo 🟢 Campeão PE Poomsae Pe dupla Nordeste Nordeste dupla,3,3,202,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,13,,False,Pública,3,Iniciante,202,,PE,Pessoa / Criador,Não,Indefinido
arthurvkzz,Arthurvkzz,arthurvkzz 2 2 Arthur Vinicius rec/pe Taekwondo I belong to Jesus A' Tkd Gym . A' Tkd Gym .,2,2,440,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,7,https://www.threads.com/@arthurvkzz?xmt=AQF0Mzw15pcGmeT4QSnbQ4WiXNwcWmRTrzAglbJvZKWmJXA,False,Pública,2,Iniciante,440,,PE,Pessoa / Criador,Não,Indefinido
bryan_kennedtkd,Bryan_Kennedtkd,bryan_kennedtkd 2. 2. 6. 6. Bryan Kenned Atleta MelhoresDoAno SP RJ PE RN MelhoresDoAno SP RJ PE RN,17,17,2031,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,7,,False,Pública,17,Iniciante,2031,,PE,Pessoa / Criador,Não,Indefinido
andradetkd1,Andradetkd1,"andradetkd1 ,6 mil ,6 mil 4. 4. Estevão Andrade Artista ... mais mais Treino tkd Passeio de jat Porto PE Minha Luiza Pipa Rio de janeiro São Paulo Treino tkd Passeio de jat Porto PE Minha Luiza Pipa Rio de janeiro São Paulo",53,53,10000,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,https://www.threads.com/@andradetkd1?xmt=AQF0vrQO1i0z8rqHXVF8KStEgbbxW2C5d9BFcUl9O-Jy_7g,False,Pública,53,Iniciante,10000,São Paulo,PE,Pessoa / Criador,Não,Indefinido
ll.pessoa,Ll.Pessoa,ll.pessoa Leticia de Almeida Querido diário... ~ Lic. em Dança-UFRN ~ Taekwondista | ... mais Querido diário... ~ Lic. em Dança-UFRN ~ Taekwondista | ... mais mais tkd cacau paisagens pipa Cotovelo Beach bingo Recife - PE baía formosa SALÃO DA LIANA tkd cacau paisagens pipa Cotovelo Beach bingo Recife - PE baía formosa SALÃO DA LIANA,133,133,635,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,https://www.threads.com/@ll.pessoa?xmt=AQF07636iCRoQKrw2R40dkhZzi3fXSX6lhRtwA0dwRC6DP0,False,Pública,133,Iniciante,635,Recife,PE,Empresa / Comércio,Não,Indefinido
rebeca_g.torres,Rebeca_G.Torres,rebeca_g.torres 3 3 1. 1. 1. 1. PE| vsco.co/torreszxs,3,3,1270,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,3,Iniciante,1270,,PE,Pessoa / Criador,Não,Indefinido
allifbarreto,Allifbarreto,allifbarreto 4. 4. 3. 3. Allif Barreto Atleta Taekwondo-RJ Atleta 3ºSG-MB Campeão Brasileiro 5x Sul Americano Júnior P... mais Allif Barreto Atleta Taekwondo-RJ Atleta 3ºSG-MB Campeão Brasileiro 5x Sul Americano Júnior P... mais Taekwondo-RJ Atleta 3ºSG-MB Campeão Brasileiro 5x Sul Americano Júnior P ... mais mais TAEKWONDO Minha gata Conquistas Recife-PE Rio de Janeiro Chile Nosso chá MARINHA DO BRA TAEKWONDO Minha gata Conquistas Recife-PE Rio de Janeiro Chile Nosso chá MARINHA DO BRA,405,405,4709,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,405,Iniciante,4709,Rio De Janeiro,PE,Pessoa / Criador,Não,Indefinido
_arthurrsilva_,_Arthurrsilva_,_arthurrsilva_ 1. 1. 3. 3. Prof. Arthur Almeida ... mais mais Réveillon Jeri Rio de Janeiro Confra 2k18 Bahia Igarassu-PE Olinda-PE Praia do Preá Viçosa Jeri Ceará Réveillon Jeri Rio de Janeiro Confra 2k18 Bahia Igarassu-PE Olinda-PE Praia do Preá Viçosa Jeri Ceará,122,122,1775,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,122,Iniciante,1775,Rio De Janeiro,PE,Pessoa / Criador,Não,Indefinido
jhenyfer.carreti,Jhenyfer.Carreti,jhenyfer.carreti 1. 1. Carreti Criador(a) de conteúdo digital ... mais mais J PE 15zou J PE 15zou,116,116,1142,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,3,,False,Pública,116,Iniciante,1142,,PE,Pessoa / Criador,Não,Indefinido
_tkdlinssantos,_Tkdlinssantos,_tkdlinssantos 1. 1. 1. 1. Academia Lins Santos TKD Time esportivo Mestre Edyolimpio Lins - 4° DAN Prof° Carlos Ramos - 3° DAN Filiada a FPETKD e CBTKD Bairros: Aurora/Maranguape 1 Academia Lins Santos TKD Time esportivo Mestre Edyolimpio Lins - 4° DAN Prof° Carlos Ramos - 3° DAN Filiada a FPETKD e CBTKD Bairros: Aurora/Maranguape 1 Copa Pernambuco Exame de Faixa Copa Cesario’s Fisioterapia Regional NE Copa Ipiranga JEPS PE KYORUGUI Duelo de Titans PE POOMSAE Exame de faixa Treinamentos Grand Slan Confra Copa Pernambuco Exame de Faixa Copa Cesario’s Fisioterapia Regional NE Copa Ipiranga JEPS PE KYORUGUI Duelo de Titans PE POOMSAE Exame de faixa Treinamentos Grand Slan Confra,153,153,1194,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,3,,False,Pública,153,Iniciante,1194,,PE,Empresa / Comércio,Não,Indefinido
s.gsilv4,S.Gsilv4,"s.gsilv4 2 2 1. 1. ' rec, pe tkd ' rec, pe tkd",2,2,1984,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,3,,False,Pública,2,Iniciante,1984,,PE,Pessoa / Criador,Não,Indefinido
rodrigonascimentotreinador,Rodrigonascimentotreinador,rodrigonascimentotreinador 1. 1. Rodrigo Nascimento - Treinador CREF: -G/PE Instrutor de fitness Quer se tornar um campeão no tatame? Treino de Força para Lutadores e Corredores •Faixa Preta 4° Dan Taekwondo... mais Quer se tornar um campeão no tatame? Treino de Força para Lutadores e Corredores •Faixa Preta 4° Dan Taekwondo ... mais mais wa.link/2qkwmz Team RC Acompanhamentos Exame 4*Dan Destaques resultados. nossos momentos. estágio motocicles Happy Team RC Acompanhamentos Exame 4*Dan Destaques resultados. nossos momentos. estágio motocicles Happy,276,276,928,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,https://www.threads.com/@rodrigonascimentotreinador?xmt=AQF0nRgx4PMu3cFysYGl75BixkGFqvXFQjuDnJnfFcsPlQo,False,Pública,276,Iniciante,928,,PE,Pessoa / Criador,Não,Indefinido
guiabelojardimpe,Guiabelojardimpe,"guiabelojardimpe 1. 1. Guia Belo Jardim · Reserva Belo Jardim, PE Notícias | Eventos | Cultura | Turismo 6 milhões de views Conta principal de 16k em... mais Belo Jardim, PE Notícias | Eventos | Cultura | Turismo 6 milhões de views Conta principal de 16k em ... mais mais wa.me/ Eventos Photo Conquistas Marocas Eventos Photo Conquistas Marocas",139,139,1951,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,139,Iniciante,1951,,PE,Empresa / Comércio,Não,Indefinido
rayanne_larissa01,Rayanne_Larissa01,rayanne_larissa01 0 0 1. 1. Rayane Larissa PE Atleta De taekwondo Rayane Larissa PE Atleta De taekwondo,0,0,573,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,0,Iniciante,573,,PE,Pessoa / Criador,Não,Indefinido
m.laaurwx_,M.Laaurwx_,"m.laaurwx_ 0 0 laurinha athlete rec, pe | a arte é viver. laurinha athlete rec, pe | a arte é viver.",0,0,748,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,0,Iniciante,748,,PE,Pessoa / Criador,Não,Indefinido
vitinh0tkd,Vitinh0Tkd,vitinh0tkd Vitor Dos Santos Atleta Atleta TKD | FPETKD 2x PE Champion Medalhas| Recife | Contato: ... mais Vitor Dos Santos Atleta Atleta TKD | FPETKD 2x PE Champion Medalhas| Recife | Contato: ... mais Atleta TKD | FPETKD 2x PE Champion Medalhas| Recife | Contato: ... mais mais,14,14,200,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,14,Iniciante,200,Recife,PE,Pessoa / Criador,Não,Indefinido
lucas.santostkd,Lucas.Santostkd,lucas.santostkd 8 8 negueba_tkd Camp. Pernambucano Êxodo : PE - BR TAEKWONDO negueba_tkd Camp. Pernambucano Êxodo : PE - BR TAEKWONDO,8,8,98,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,15,,False,Pública,8,Iniciante,98,,PE,Pessoa / Criador,Não,Indefinido
