username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
powerfitenergy,Powerfitenergy,"powerfitenergy 1. 1. Powerfit Energy Drink Sem açúcar, sem limites! Energia na medida certa para quem vive no modo turbo. Ative-se agora! Powerfit Energy Drink Sem açúcar, sem limites! Energia na medida certa para quem vive no modo turbo. Ative-se agora! Parcerias Eventos Clientes Influs Sobre Diferencial Onde comprar Parcerias Eventos Clientes Influs Sobre Diferencial Onde comprar",63,63,1586,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,16,,False,Pública,63,Iniciante,1586,,SE,Pessoa / Criador,Não,Indefinido
indivic_14,Indivic_14,indivic_14 ingrid Atleta católica apostólica romanica Mas o mais triste é que eles se amavam. Mas eram jovens demais para saber como amar... mais Atleta católica apostólica romanica Mas o mais triste é que eles se amavam. Mas eram jovens demais para saber como amar ... mais mais,24,24,282,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,4,https://www.threads.com/@indivic_14?xmt=AQF0PiytP8s6TtyMEu30Wwm5EQ0Wxu94krO5TVBjBhC80a4,False,Pública,24,Iniciante,282,,SE,Pessoa / Criador,Não,Indefinido
j.oliveirax_.7,J.Oliveirax_.7,"j.oliveirax_.7 0 0 j.oliveirax.7 Só vale a pena se não lhe custar... a saúde, a alegria e o axé j.oliveirax.7 Só vale a pena se não lhe custar... a saúde, a alegria e o axé",0,0,175,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,3,,False,Pública,0,Iniciante,175,,SE,Pessoa / Criador,Não,Indefinido
pvd.tauani_,Pvd.Tauani_,pvd.tauani_ 2 2 2. 2. tauaniii se existe algo bom em mim é cristo taewokondo tauaniii se existe algo bom em mim é cristo taewokondo,2,2,632,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,2,Iniciante,632,,SE,Pessoa / Criador,Não,Indefinido
soaresfernando20,Soaresfernando20,soaresfernando20 1. 1. Fernando Dias se vc ainda ver.,67,67,894,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,6,,False,Pública,67,Iniciante,894,,SE,Pessoa / Criador,Não,Indefinido
andrepontes.se,Andrepontes.Se,andrepontes.se 0 0 André Pontes,0,0,270,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,0,Iniciante,270,,SE,Pessoa / Criador,Não,Indefinido
b3kyie,B3Kyie,b3kyie 0 0 rebeca ella Atleta ⋆ | além do que se vê. rebeca ella rebeca ella Atleta ⋆ | além do que se vê.,0,0,539,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,0,Iniciante,539,,SE,Pessoa / Criador,Não,Indefinido
iamilezx,Iamilezx,"iamilezx 1 1 milenɑ aju, se milenɑ aju, se . . . .",1,1,400,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,6,,False,Pública,1,Iniciante,400,,SE,Pessoa / Criador,Não,Indefinido
mariagomesdearaujo57,Mariagomesdearaujo57,mariagomesdearaujo57 5 5 Maria Gomes de Araújo se renovando a cada dia Maria Gomes de Araújo se renovando a cada dia,5,5,39,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,,False,Pública,5,Iniciante,39,,SE,Pessoa / Criador,Não,Indefinido
lanny_kailove,Lanny_Kailove,lanny_kailove 2 2 1. 1. ¡~goleiro de totó~¡ Não se sinta mal nem por um segundo por fazer o que te faz feliz..,2,2,794,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,https://www.threads.com/@lanny_kailove?xmt=AQF0kC6gt34UnRlhqSn2O8tCvLMaEbviQY5I8k91PgL212k,False,Pública,2,Iniciante,794,,SE,Pessoa / Criador,Não,Indefinido
