username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
borges_.fxp22,Borges_.Fxp22,"borges_.fxp22 0 0 1. 1. 1. 1. Hebert Borge$ entre anjos e demônios , eu to vivendo a vida guiado por deus Hebert Borge$ entre anjos e demônios , eu to vivendo a vida guiado por deus",0,0,1761,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,,False,Pública,0,Iniciante,1761,,TO,Pessoa / Criador,Não,Indefinido
erivaldotkd,Erivaldotkd,erivaldotkd 1. 1. 1. 1. Erivaldo Martiniano No to racism Taekwondo Futebol Depois de tudo Gratidão #Paz Projeto social ⏳ Projeto social ⏳,91,91,1355,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,4,https://www.threads.com/@erivaldotkd?xmt=AQF0SEDY6KANhdUkf4I9sX5t-OosPyHKDUFcxpUwDpBGtZc,False,Pública,91,Iniciante,1355,,TO,Pessoa / Criador,Não,Indefinido
ruannzra,Ruannzra,"ruannzra 3 3 ,1 mil ,1 mil Taekwondo athlete2° Dan Copa América 4x Campeão Brasileiro The best is yet to come Taekwondo athlete2° Dan Copa América 4x Campeão Brasileiro The best is yet to come",3,3,10000,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,3,,False,Pública,3,Iniciante,10000,,TO,Pessoa / Criador,Não,Indefinido
danbhutan,Danbhutan,"danbhutan 1. 1. 7. 7. Dan Bhutan Author of ""5 Days in Phuket"",Travel to Bhutan with Ama Loka Adventures via travellines.org Dan Bhutan Author of ""5 Days in Phuket"",Travel to Bhutan with Ama Loka Adventures via travellines.org",196,196,1147,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,196,Iniciante,1147,,TO,Pessoa / Criador,Não,Indefinido
mukhammadkarim_tukhtaboyev,Mukhammadkarim_Tukhtaboyev,mukhammadkarim_tukhtaboyev 3. 3. Muhammadkarim To'xtaboyev Blog pessoal • Microsoft MVP - top experts in the world • Software Engineering Manager • Taekwondo WT Athlete • Singer dotnetgo.com Talks Sport Uzbekistan Kyrgyzstan Art Books Microsoft Talks Sport Uzbekistan Kyrgyzstan Art Books Microsoft,122,122,3704,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,https://www.threads.com/@mukhammadkarim_tukhtaboyev?xmt=AQF0n9Q9u-rpLy2T89oBX9M7mswNBonCME2oqr5wlDI0E0k,False,Pública,122,Iniciante,3704,,TO,Pessoa / Criador,Não,Indefinido
izadoratkdx_,Izadoratkdx_,"izadoratkdx_ 0 0 IZADORA COSTA / ""I don't want you to leave"" Taekwondo athlete Cauc... mais / ""I don't want you to leave"" Taekwondo athlete Cauc ... mais mais",0,0,288,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,https://www.threads.com/@izadoratkdx_?xmt=AQF0V8-ZvrU6Dy0I2khjaBJj4-RFaL-_PnNfDu-K3scs3zs,False,Pública,0,Iniciante,288,,TO,Pessoa / Criador,Não,Indefinido
raiguerino_,Raiguerino_,"raiguerino_ 1 1 Raí “If the Devil wants to dance with you, better say never, cause a dance with the Devil may last you forever” Raí “If the Devil wants to dance with you, better say never, cause a dance with the Devil may last you forever” me me",1,1,834,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,1,Iniciante,834,,TO,Pessoa / Criador,Não,Indefinido
luxca.tkd,Luxca.Tkd,luxca.tkd lucas luz Atleta to wreak havoc lucas luz Atleta to wreak havoc ‍,14,14,514,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,,False,Pública,14,Iniciante,514,,TO,Pessoa / Criador,Não,Indefinido
rebeccaamor.im,Rebeccaamor.Im,rebeccaamor.im 1. 1. Rebecca Amorim Let everything happen to you Beauty and terror Just keep going No feeling is final,95,95,771,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,https://www.threads.com/@rebeccaamor.im?xmt=AQF0E7SC_8ozurqZCwhzw4CFB3k0LVAjvCV-fO0cCiIwoGU,False,Pública,95,Iniciante,771,,TO,Pessoa / Criador,Não,Indefinido
john_grick,John_Grick,john_grick 2. 2. John Grick I do not know how to show you how much I love you,60,60,527,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,https://www.threads.com/@john_grick?xmt=AQF0rQPYzB7ar8Ylp5SadTQRu76hEkSZF2Fn8dTUHi1HOCs,False,Pública,60,Iniciante,527,,TO,Pessoa / Criador,Não,Indefinido
