username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
esquadraotigretaekwondo,Esquadraotigretaekwondo,esquadraotigretaekwondo Esquadrão Tigre Taekwondo Escola de artes marciais ... mais mais,71,71,230,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,26,,False,Pública,71,Iniciante,230,,,Empresa / Comércio,Sim,Indefinido
sampaio_team,Sampaio_Team,sampaio_team Sampaio Team Martial Arts Escola de artes marciais ... mais mais Taekwondo Kickboxing Taekwondo Kickboxing,86,86,692,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,8,,False,Pública,86,Iniciante,692,,,Empresa / Comércio,Sim,Indefinido
tjmoveis_,Tjmoveis_,"tjmoveis_ 6. 6. Móveis com madeira de Demolição Produto/serviço A empresa TJ MÓVEIS atua desde na fabricação de móveis em madeira de demolição, realizando seus projetos... mais SMPW QD CONJ BOX PARK WAY- BRASILIA-DF, Brasília, Brazil Móveis com madeira de Demolição Produto/serviço A empresa TJ MÓVEIS atua desde na fabricação de móveis em madeira de demolição, realizando seus projetos... mais A empresa TJ MÓVEIS atua desde na fabricação de móveis em madeira de demolição, realizando seus projetos ... mais mais Banco Buffet Cristaleira Moldura Banco Buffet Cristaleira Moldura",771,771,6236,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,1,,False,Pública,771,Iniciante,6236,Brasilia,DF,Empresa / Comércio,Não,Indefinido
teamtaekwondoescola,Teamtaekwondoescola,tkdescola.com.br teamtaekwondoescola 4. 4. 2. 2. Team Taekwondo Escola Projeto Social Team Taekwondo Escola Filiação: CBTKD • WT • AAT Técnico: Fábio Lourenço ⏰Funcionamento: Seg á Sex... mais Projeto Social Team Taekwondo Escola Filiação: CBTKD • WT • AAT Técnico: Fábio Lourenço ⏰Funcionamento: Seg á Sex ... mais mais Treinamento Treinamento,741,741,4877,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,,False,Pública,741,Iniciante,4877,,,Empresa / Comércio,Sim,Indefinido
rogerioromarioedf,Rogerioromarioedf,rogerioromarioedf 3. 3. 1. 1. Rogério Romário Coach ... mais mais Coréia do Sul França Portugal Por aí... Taekwondo Treinos Bocha Escolas Coréia do Sul França Portugal Por aí... Taekwondo Treinos Bocha Escolas,523,523,3908,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,6,https://www.threads.com/@rogerioromarioedf?xmt=AQF0YvWkG1NTnAup1gkmxSOX9hgDbwI5pyxSQ-y3LZr6YvI,False,Pública,523,Iniciante,3908,,,Empresa / Comércio,Não,Indefinido
baby.class.tkd,Baby.Class.Tkd,baby.class.tkd Sabrina Machado Taekwondo Empreendedor(a) ... mais mais OS BABYS ESCOLA SALTO POOMSAE PARCEIROS KIDS GRAUZINHO DIA DOS PAIS AQUECIMENTO ARRAIÁ FILOSOFIA EXAME DE FAIXA OS BABYS ESCOLA SALTO POOMSAE PARCEIROS KIDS GRAUZINHO DIA DOS PAIS AQUECIMENTO ARRAIÁ FILOSOFIA EXAME DE FAIXA,566,566,350,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,11,,False,Pública,566,Iniciante,350,,,Empresa / Comércio,Sim,Indefinido
lana.escobarr,Lana.Escobarr,lana.escobarr 2. 2. 2. 2. Lana Escobar Esp. em EF Escolar (UEG) Mestra em Educação (UFG) Prof. de EF e Natação Árbitra de TKD (FGTKD/CBTKD) Mãe da... mais Lana Escobar Esp. em EF Escolar (UEG) Mestra em Educação (UFG) Prof. de EF e Natação Árbitra de TKD (FGTKD/CBTKD) Mãe da... mais Esp. em EF Escolar (UEG) Mestra em Educação (UFG) Prof. de EF e Natação Árbitra de TKD (FGTKD/CBTKD) Mãe da ... mais mais,246,246,2025,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,,False,Pública,246,Iniciante,2025,,,Empresa / Comércio,Não,Indefinido
camila_mtkd,Camila_Mtkd,camila_mtkd 2. 2. 3. 3. Camila Monteiro Graduada em Educação Física ‍ Professora do Programa EmPODERadas Professora de Jiu-jítsu Mestra Taekwondo Alice 4 Anos EmPODERadas 1 Alice 3 Anos Alice Alice 2 anos Academia Fênix Mêsversario FDT Alice 1 Ano H Alice 4 Anos EmPODERadas 1 Alice 3 Anos Alice Alice 2 anos Academia Fênix Mêsversario FDT Alice 1 Ano H,268,268,2745,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,3,https://www.threads.com/@camila_mtkd?xmt=AQF0mqqtjqKL9eKHx3CzRHXY_pxmp6K4AYUDDhdM-IES5F0,False,Pública,268,Iniciante,2745,,,Empresa / Comércio,Não,Indefinido
gemeosacad,Gemeosacad,api.whatsapp.com/send?phone= gemeosacad Gêmeos Academia Equipe de esporte profissional Horário de Funcionamento Das 6: as : h Gêmeos Academia GÊMEOS Eventos de MMA MMA Gêmeos Academia GÊMEOS Eventos de MMA MMA,107,107,709,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,2,https://www.threads.com/@gemeosacad?xmt=AQF0zojm3UE01LGGzzRf93T9YzzOryBHg4LPiDk1DoybMmk,False,Pública,107,Iniciante,709,,,Empresa / Comércio,Não,Indefinido
romagnolitkdteam,Romagnolitkdteam,romagnolitkdteam 1. 1. 1. 1. Reinaldo Romagnoli Bacharel e Licenc. Educação Física Esp. Obesidade e Emagrecimento Esp. Esporte Escolar Esp. Medicina Chinesa Prof... mais Bacharel e Licenc. Educação Física Esp. Obesidade e Emagrecimento Esp. Esporte Escolar Esp. Medicina Chinesa Prof ... mais mais Destaques Acupuntura Medicina Chinesa Campeã!!! Sextoooooouuuuuu Destaques Acupuntura Medicina Chinesa Campeã!!! Sextoooooouuuuuu,598,598,1569,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,18,https://www.threads.com/@romagnolitkdteam?xmt=AQF0FAEIQvgJhKIMxrrpTJnvKRB73e6tQNiOJ0gqjLeIMLQ,False,Pública,598,Iniciante,1569,,,Empresa / Comércio,Sim,Indefinido
lotushapkido,Lotushapkido,youtu.be/3ZKHnFqbaDM lotushapkido 1. 1. Hapkido - Lótus Empresa local Treino de Hapkido Segunda e Quarta às :-: Teoria Curiosidades Treinos Alunos - Lótus Teoria Curiosidades Treinos Alunos - Lótus,92,92,1053,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,14,,False,Pública,92,Iniciante,1053,,,Empresa / Comércio,Não,Indefinido
actkdchapecooficial,Actkdchapecooficial,actkdchapecooficial 1. 1. 1. 1. Escola de artes marciais MOMENTOS CT VERDÃO PAF MOMENTOS CT VERDÃO PAF,221,221,1210,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,8,,False,Pública,221,Iniciante,1210,,,Empresa / Comércio,Sim,Indefinido
style_rozestore,Style_Rozestore,style_rozestore Style Rozé Vestuário (marca) Aproveite e garanta seus looks com % de desconto e frete grátis. Utilize meu cupom VES11341LZ e VES11341,13,13,18,False,Seguir,1,curtidas_completo_cbtkd.oficial.csv,2025-08-03,4,https://www.threads.com/@style_rozestore?xmt=AQF0nbfSIsSw-r6PFmJZB1IM9tL6xXo_Wt4PshzrcpP5gTM,False,Pública,13,Iniciante,18,,,Empresa / Comércio,Não,Indefinido
