username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,foto_perfil.1,categoria,nome_completo.1,conta_comercial,destaque_stories,posts_recentes,engajamento_medio,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
nairaglicia,,nairaglicia Glicia Naira @ viagens trabalho pensa realidade curitiba @ viagens trabalho pensa realidade curitiba,34,34,678,False,Seguir,0,confresamtoficial.csv,2025-08-02,2,,False,Pública,0,,,False,0.0,0.0,0.0,34,Iniciante,678,Curitiba,,Pessoa / Criador,Não,Indefinido
ludsoncavalcante,,ludsoncavalcante 5. 5. 1. 1. Ludson Cavalcante Blogueiro(a) DIGITAL INFLUÊNCER MEU DIA DIA ‍ SFX AQUARIANO Ludson Cavalcante Blogueiro(a) DIGITAL INFLUÊNCER MEU DIA DIA ‍ SFX AQUARIANO B. Camboriú Beto Carrero conquistas CURITIBA RJ felicidades B. Camboriú Beto Carrero conquistas CURITIBA RJ felicidades,130,130,5706,False,Seguir,0,fazendeeira.csv,2025-08-02,2,,False,Pública,0,,,False,0.0,0.0,0.0,130,Iniciante,5706,Curitiba,RJ,Pessoa / Criador,Não,Indefinido
raquelazevedo357,,raquelazevedo357 1. 1. pay.goold.club/aff/S3LYWN/K0GXNMHQ Fioterapia Filha euzinha Clientes gold TÔNICO PODEROSO Amores Poconé SP Curitiba/parana Natureza bhaia Fioterapia Filha euzinha Clientes gold TÔNICO PODEROSO Amores Poconé SP Curitiba/parana Natureza bhaia,38,38,1796,False,Seguir,0,fazendeeira.csv,2025-08-02,4,https://www.threads.com/@raquelazevedo357?xmt=AQF0hFsRYPMMD9_KFl3b15zwyXkssppo0cTLcQvkmtyANtA,False,Pública,0,,,False,0.0,0.0,0.0,38,Iniciante,1796,Curitiba,SP,Pessoa / Criador,Não,Indefinido
rleemes,,"rleemes ,7 mil ,7 mil 4. 4. R O B E R T A L E M E S Blogueiro(a) ... mais mais RJ ILHABELA CURITIBA RJ ILHABELA CURITIBA",665,665,10000,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,665,Iniciante,10000,Curitiba,RJ,Pessoa / Criador,Não,Indefinido
mandinha_almeida_bandeira_041,,mandinha_almeida_bandeira_041 4 4 1. 1. 7. 7. ‍ ঔৣ . 3: ঔৣ .‍‍‍ . Years .Geminiana .Curitiba /Pr ঔৣ Amandinha Almeida Bandeira,4,4,1051,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@mandinha_almeida_bandeira_041?xmt=AQF0QObpqtO4pbG0j0rHGIihy_sRtPmN8ULWmCH_RwsaSpQ,False,Pública,0,,,False,0.0,0.0,0.0,4,Iniciante,1051,Curitiba,PR,Pessoa / Criador,Não,Indefinido
fabricia_carvalho,,fabricia_carvalho 1. 1. Fabrícia Carvalho CURITIBA-PR CÂNCER,570,570,455,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,https://www.threads.com/@fabricia_carvalho?xmt=AQF0zqDM26irRILSkU2d76nhVe_YDFgMR7lU1buunpb2C14,False,Pública,0,,,False,0.0,0.0,0.0,570,Iniciante,455,Curitiba,PR,Pessoa / Criador,Não,Indefinido
izabelle_abuquerque,,"izabelle_abuquerque ,2 mil ,2 mil DraIzabelle Albuquerque Curitiba-Ouricuri Médica - cirurgiã plástica “nunca me esquecerei das terras onde pisei” DraIzabelle Albuquerque Curitiba-Ouricuri Médica - cirurgiã plástica “nunca me esquecerei das terras onde pisei”",40,40,10000,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,40,Iniciante,10000,Curitiba,,Pessoa / Criador,Não,Indefinido
luanamanfroi,,luanamanfroi 4. 4. 4. 4. Dra. Luana Manfroi |Cirurgiã - Dentista | Empreendedora Digital Especialista em Endodontia e Ortodontia Dra. Luana Manfroi |Cirurgiã - Dentista | Empreendedora Digital Especialista em Endodontia e Ortodontia P. Galinhas- PÉ Natal/Pipa-RN Maceio - Al Buzios Floripa - SC Bahia Curitiba - PR Pedais Fortal/Jeri Búzios Destaques P. Galinhas- PÉ Natal/Pipa-RN Maceio - Al Buzios Floripa - SC Bahia Curitiba - PR Pedais Fortal/Jeri Búzios Destaques,122,122,4933,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,122,Iniciante,4933,Curitiba,AL,Pessoa / Criador,Não,Indefinido
nathanbaggio,,"nathanbaggio 8. 8. 7. 7. Nathan Henrique Blog pessoal Sinop, MT You Servir Aparecida SC Curitiba SP Porto Seguro Alagoas Pernambuco You Servir Aparecida SC Curitiba SP Porto Seguro Alagoas Pernambuco",63,63,8365,False,,0,mayaratenorio.csv,2025-08-02,1,https://www.threads.com/@nathanbaggio?xmt=AQF0fZoUM1HZT-0VcguzfHzd1pIEwU5jSKNy-gS_xk0k92M,False,Pública,0,,,False,0.0,0.0,0.0,63,Iniciante,8365,Curitiba,MT,Pessoa / Criador,Não,Indefinido
wllsouza__,,"wllsouza__ ,3 mil ,3 mil 4. 4. Wallyson Godoy Blogueiro(a) Na Fábrica Destaques Life Styling O agro é pop Na roça BH literature Praia do Rosa P. G Céu Curitiba NASA Gramado RS Na Fábrica Destaques Life Styling O agro é pop Na roça BH literature Praia do Rosa P. G Céu Curitiba NASA Gramado RS",76,76,10000,False,Seguir,0,mayaratenorio.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,76,Iniciante,10000,Curitiba,RS,Pessoa / Criador,Não,Indefinido
_pamelamichely,,_pamelamichely Pamela Michely Sales Contadora/Administradora‍ Especialista em Controladoria e Gestão do Agronegócio ‍ Buscando minha melhor versão... mais Pamela Michely Sales Contadora/Administradora‍ Especialista em Controladoria e Gestão do Agronegócio ‍ Buscando minha melhor versão... mais Contadora/Administradora‍ Especialista em Controladoria e Gestão do Agronegócio ‍ Buscando minha melhor versão ... mais mais Processo Férias Janeiro Retorno Crossfit Musculação Natal Curitiba Matinhos Comidinhas Crossfit comidinhas II Comidinhas Processo Férias Janeiro Retorno Crossfit Musculação Natal Curitiba Matinhos Comidinhas Crossfit comidinhas II Comidinhas,155,155,755,False,Seguir,0,mayaratenorio.csv,2025-08-02,2,,False,Pública,0,,,False,0.0,0.0,0.0,155,Iniciante,755,Curitiba,,Pessoa / Criador,Não,Indefinido
mariane_pupo,,mariane_pupo 1. 1. 1. 1. Mariane Pupo Moratto | Advogada Católica Apostólica Romana Mariane Pupo Moratto | Advogada Católica Apostólica Romana Curitiba Curitiba,54,54,1499,False,,0,mayaratenorio.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,54,Iniciante,1499,Curitiba,,Pessoa / Criador,Não,Indefinido
fisio.simonearando,,"wa.me/ fisio.simonearando 8. 8. Dra. Simone Arando | Fisioterapeuta Curitiba Te ajudo a recuperar sua qualidade de vida, tratando a causa da sua dor! Fisioterapia ortopédica, RPG e Pilates ... mais Te ajudo a recuperar sua qualidade de vida, tratando a causa da sua dor! Fisioterapia ortopédica, RPG e Pilates ... mais mais RPG Curiosidades Ortopedia Meus Momentos Tele Meu Cantinho Pilates GDS Motivação Postura Descontraindo Estudos Dia a dia Bate Papo RPG Curiosidades Ortopedia Meus Momentos Tele Meu Cantinho Pilates GDS Motivação Postura Descontraindo Estudos Dia a dia Bate Papo",403,403,8079,False,,0,saudeamemedicina.csv,2025-08-02,1,https://www.threads.com/@fisio.simonearando?xmt=AQF0wDikZQhpwOl_ft0NSmVBQoqrJb7no1X6Js8x4pbpt68,False,Pública,0,,,False,0.0,0.0,0.0,403,Iniciante,8079,Curitiba,,Pessoa / Criador,Não,Indefinido
