username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,foto_perfil.1,categoria,nome_completo.1,conta_comercial,destaque_stories,posts_recentes,engajamento_medio,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
marodrigues_,,marodrigues_ 1. 1. 1. 1. Marina Rodrigues Arquiteta e Urbanista l Designer Colecionando memórias SP MT Marina Rodrigues Arquiteta e Urbanista l Designer Colecionando memórias SP MT ‍ Salvador BA Maragogi -AL Arquitetura Família Viagens Amigos ‍ ‍ Salvador BA Maragogi -AL Arquitetura Família Viagens Amigos ‍,122,122,1728,False,Seguir,0,fazendeeira.csv,2025-08-02,3,,False,Pública,0,,,False,0.0,0.0,0.0,122,Iniciante,1728,Salvador,AL,Pessoa / Criador,Não,Indefinido
salvador___anchieta,,6 6 1. 1. salvador___anchieta,6,6,647,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@salvador___anchieta?xmt=AQF0jDw0v5vpTC-23L5bQFqeojX2eIcWA2QP5bxOlaGPeI4,False,Pública,0,,,False,0.0,0.0,0.0,6,Iniciante,647,Salvador,,Pessoa / Criador,Não,Indefinido
cidbatistabjj,,"cidbatistabjj 2. 2. ,9 mil ,9 mil 7. 7. Cid Souza Batista BJJ Criador(a) de conteúdo digital brasileiro, Salvador Bahia. Ed. Físico, Personal Training e Fight. Estudante geologia UFOB Filiado a cbjj/ibjjf ABBOXE... mais brasileiro, Salvador Bahia. Ed. Físico, Personal Training e Fight. Estudante geologia UFOB Filiado a cbjj/ibjjf ABBOXE ... mais mais kiriusteam.com.br/bio DE VOLTA AO JOGO DE LEVE MOTIVACIONAL 4.2 Weekend 4. Weekend 2. 6. 6. Weekend 3.5 Weekend DE VOLTA AO JOGO DE LEVE MOTIVACIONAL 4.2 Weekend 4. Weekend 2. 6. 6. Weekend 3.5 Weekend",2647,2647,10000,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@cidbatistabjj?xmt=AQF0RioLiWLM66fNW333G20lvPgO7yOXeHsgxBJYiVdJNIo,False,Pública,0,,,False,0.0,0.0,0.0,2647,Nano,10000,Salvador,,Pessoa / Criador,Sim,Indefinido
raianesilvaaaaa,,"raianesilvaaaaa R A I A N E -- -- MG DEUS, MEU CRIADOR JESUS, MEU SALVADOR ESPÍRITO SANTO, CONSOLADOR R A I A N E -- -- MG DEUS, MEU CRIADOR JESUS, MEU SALVADOR ESPÍRITO SANTO, CONSOLADOR",19,19,160,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,19,Iniciante,160,Salvador,MG,Pessoa / Criador,Não,Indefinido
fernandesede4,,fernandesede4 5. 5. ede fernandes fernandes Amar a Deus sobre todas as coisas ...... Mora: SALVADOR _BA Signo: Leonina Por tudo por tanto toda honra toda Glória... mais ede fernandes fernandes Amar a Deus sobre todas as coisas ...... Mora: SALVADOR _BA Signo: Leonina Por tudo por tanto toda honra toda Glória... mais Amar a Deus sobre todas as coisas ...... Mora: SALVADOR _BA Signo: Leonina Por tudo por tanto toda honra toda Glória ... mais mais,310,310,701,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,310,Iniciante,701,Salvador,,Pessoa / Criador,Não,Indefinido
nando_bloguerinhoo,,nando_bloguerinhoo 2. 2. 5. 5. Fernando Chagas Salvador/BA Jesus Cristo Bem aventurado Parcerias:- ¹... mais Fernando Chagas Salvador/BA Jesus Cristo Bem aventurado Parcerias:- ¹... mais Salvador/BA Jesus Cristo Bem aventurado Parcerias:- ¹ ... mais mais Destaques Destaques minhas danças Destaques minhas danças,194,194,2525,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,194,Iniciante,2525,Salvador,BA,Pessoa / Criador,Não,Indefinido
katriny.alnert,,katriny.alnert 1. 1. 1. 1. ~:) Blog pessoal ‍ | . | - / | / | .// Peru/Bolívia Assis Brasil Retiros Humaitá Santa Catarina UCADEPH Cuiabá MT. Salvador Bahia .. durante 3°Rão.. do Acre Peru/Bolívia Assis Brasil Retiros Humaitá Santa Catarina UCADEPH Cuiabá MT. Salvador Bahia .. durante 3°Rão.. do Acre,185,185,1201,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,2,https://www.threads.com/@katriny.alnert?xmt=AQF0JvpsQvTGzpacTmv9JmdjHUXeFq9ho-BdjukqHRs9IpY,False,Pública,0,,,False,0.0,0.0,0.0,185,Iniciante,1201,Salvador,MT,Pessoa / Criador,Não,Indefinido
_sildahora1,,_sildahora1 1 1 7. 7. SIL SALVADOR- BA SIL SALVADOR- BA Destaques,1,1,405,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,1,Iniciante,405,Salvador,BA,Pessoa / Criador,Não,Indefinido
thayna.vieira04,,thayna.vieira04 5. 5. 1. 1. Thayná Vieira ... mais mais Junina ‍ ‍ ‍‍‍ Junina Junina2023 Junina2022 Salvador/BA Junina ‍ ‍ ‍‍‍ Junina Junina2023 Junina2022 Salvador/BA,43,43,5730,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,43,Iniciante,5730,Salvador,BA,Pessoa / Criador,Não,Indefinido
paty.mota_,,paty.mota_ 0 0 paty Salvador/BH paty Salvador/BH,0,0,56,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,0,Iniciante,56,Salvador,,Pessoa / Criador,Não,Indefinido
marliziinha_lima,,marliziinha_lima 1. 1. 4. 4. Marli Lima TO MT PEDAGOGA - UFT Marli Lima TO MT PEDAGOGA - UFT Salvador - BA,42,42,1637,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,42,Iniciante,1637,Salvador,BA,Pessoa / Criador,Sim,Indefinido
dramarianathalia,,dramarianathalia 2. 2. 2. 2. Maria Nathalia Médica Barra do Garças - MT é nosso ‍ Salvador Barra do Garças No mato.. Maceió BRASÍLIA Maragogi Salvador Barra do Garças No mato.. Maceió BRASÍLIA Maragogi,82,82,2353,False,,0,mayaratenorio.csv,2025-08-02,1,https://www.threads.com/@dramarianathalia?xmt=AQF0gN3t-eLGznXqae99HCi7umXlv_8H590a1yng7A1w-4k,False,Pública,0,,,False,0.0,0.0,0.0,82,Iniciante,2353,Salvador,MT,Pessoa / Criador,Não,Indefinido
