username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,foto_perfil.1,categoria,nome_completo.1,conta_comercial,destaque_stories,posts_recentes,engajamento_medio,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
silvaa_edilainee,,"silvaa_edilainee 7 7 Edilaine Silva I am more me! Seja seu próprio sol, e brilhe por você mesma. Edilaine Silva I am more me! Seja seu próprio sol, e brilhe por você mesma.",7,7,488,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,7,Iniciante,488,,AM,Pessoa / Criador,Não,Indefinido
_v4gnors7,,_v4gnors7 1 1 1. 1. MENOR PROG® l am blessd!!... a adrenalina me fascina... MENOR PROG® l am blessd!!... a adrenalina me fascina...,1,1,1392,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,1,Iniciante,1392,,AM,Pessoa / Criador,Não,Indefinido
kallinemaia,,kallinemaia 2. 2. 6. 6. Kaline Paula Manaus /AM Seja Bem-vindo. Deus é Bom o tempo todo. Apaixonada pela Vida.,105,105,2082,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@kallinemaia?xmt=AQF0ngups2jeX-yI04vW5Z6Y4dyw9mbDEwOdc6wjOG6tmkA,False,Pública,0,,,False,0.0,0.0,0.0,105,Iniciante,2082,Manaus,AM,Pessoa / Criador,Não,Indefinido
fisiovitoria_,,fisiovitoria_ 1. 1. Vitória Marinho Fisioterapia | Pilates | Equoterapia | PediaSuit | Aplicadora ABA Vitória Marinho Fisioterapia | Pilates | Equoterapia | PediaSuit | Aplicadora ABA APAE C. Conv. Equoterapia. SC PR CJ AM fisio ped PA geriátrica domiciliar APAE C. Conv. Equoterapia. SC PR CJ AM fisio ped PA geriátrica domiciliar,54,54,1616,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,54,Iniciante,1616,,AM,Pessoa / Criador,Não,Indefinido
milena__063,,"milena__063 6 6 1. 1. Milena . I , AM PROBLEM Milena . I , AM PROBLEM",6,6,1591,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,6,Iniciante,1591,,AM,Pessoa / Criador,Não,Indefinido
derekhatta,,derekhatta 1. 1. Derek_93 Musicista/banda Cristão x 30y AM- x Gunma Derek_93 Musicista/banda Cristão x 30y AM- x Gunma Destaques,36,36,223,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,36,Iniciante,223,,AM,Pessoa / Criador,Não,Indefinido
llanes9762,,"llanes9762 Richard Llanes John :6 ""I am the way, and the truth, and the life. No one comes to the Father except through me. "" #Jesus Richard Llanes John :6 ""I am the way, and the truth, and the life. No one comes to the Father except through me. "" #Jesus",303,303,76,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,303,Iniciante,76,,AM,Pessoa / Criador,Não,Indefinido
d_danny7_,,d_danny7_ 2. 2. 1. 1. DHANY AM. .. DHANY AM. ..,11,11,2399,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,11,Iniciante,2399,,AM,Pessoa / Criador,Não,Indefinido
angela_sousa_milhomem,,angela_sousa_milhomem 1. 1. 2. 2. Angela Sousa Milhomem AM/PRojetos rural. engenheira agrônoma. Esp. Georreferenciamento. Esp. Licenciamento Ambiental. MAe - LUiz Felipe... mais AM/PRojetos rural. engenheira agrônoma. Esp. Georreferenciamento. Esp. Licenciamento Ambiental. MAe - LUiz Felipe ... mais mais,192,192,1874,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,10,https://www.threads.com/@angela_sousa_milhomem?xmt=AQF0cM_Bxj8OaewyEW8PYFS8tYEEdGBhnwcfvuB4N7GmvGc,False,Pública,0,,,False,0.0,0.0,0.0,192,Iniciante,1874,,AM,Pessoa / Criador,Não,Indefinido
just_me_and_god_____,,"just_me_and_god_____ 1 1 1. 1. 2. 2. -I am blessed and I will always be, my God does not fail…‍ -...‍ .! -I am blessed and I will always be, my God does not fail…‍ -...‍ .! . .",1,1,1949,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,1,Iniciante,1949,,AM,Pessoa / Criador,Não,Indefinido
viihn_ii,,viihn_ii 0 0 Viitorya Souza Provérbios :3 Canaã dos Carajás Ele está vivo Am... mais Provérbios :3 Canaã dos Carajás Ele está vivo Am ... mais mais,0,0,664,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,3,https://www.threads.com/@viihn_ii?xmt=AQF0D9yYzMmzSxDWmAvP4hL5VV1bfmYZGD2ROfCDHaKN3PE,False,Pública,0,,,False,0.0,0.0,0.0,0,Iniciante,664,,AM,Pessoa / Criador,Não,Indefinido
valeria.menezes.12139,,"valeria.menezes. 5 5 Valeria Menezes • ""Determinada ,atenciosa e organizada."" • Manaus Am",5,5,131,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,https://www.threads.com/@valeria.menezes.12139?xmt=AQF0KU6WX4x7iQbWqKFGBkT0ocqpRrKmX8tZulsSAl5D1sA,False,Pública,0,,,False,0.0,0.0,0.0,5,Iniciante,131,Manaus,AM,Pessoa / Criador,Não,Indefinido
felipe_nasciiment,,felipe_nasciiment 2. 2. 5. 5. Felipe nascimento mpu-AM .eduarda___21 Felipe nascimento mpu-AM .eduarda___21,18,18,2537,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,18,Iniciante,2537,,AM,Pessoa / Criador,Não,Indefinido
