username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,foto_perfil.1,categoria,nome_completo.1,conta_comercial,destaque_stories,posts_recentes,engajamento_medio,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
gabiferreira886,,"gabiferreira886 ,3 mil ,3 mil 7. 7. Gabi Brasília/DF Valparaíso/GO BSB MA BSB MA",22,22,10000,False,Seguir,0,fazendeeira.csv,2025-08-02,16,https://www.threads.com/@gabiferreira886?xmt=AQF0jRFQhy8U0MmPzvS-rlmR5EmjRnZHr8bJRtncZsNJ598,False,Pública,0,,,False,0.0,0.0,0.0,22,Iniciante,10000,,DF,Pessoa / Criador,Não,Indefinido
gabriel_g.b10,,gabriel_g.b10 0 0 1. 1. gabriel brasilia df,0,0,320,False,Seguir,0,fazendeeira.csv,2025-08-02,2,https://www.threads.com/@gabriel_g.b10?xmt=AQF0u3WNX-6aGslpUMM70OdFYJ_o4kMQvamZgr1_wnaa4cI,False,Pública,0,,,False,0.0,0.0,0.0,0,Iniciante,320,Brasilia,DF,Pessoa / Criador,Não,Indefinido
davijesuspatos,,"davijesuspatos 1. 1. 2. 2. Davi Jesus Cristo vive ‍ Patos de Minas - MG Gestor Educacional DF/MG Seja um exemplo, não importa a idade. 1 Timóteo... mais Cristo vive ‍ Patos de Minas - MG Gestor Educacional DF/MG Seja um exemplo, não importa a idade. 1 Timóteo ... mais mais Início Amigos EU Brasília Viagens Fé e Valores Início Amigos EU Brasília Viagens Fé e Valores",76,76,1861,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@davijesuspatos?xmt=AQF0wU-5kPskZgnmkDezmXvF-tv9TJ1YEfD7ioEXTD76P30,False,Pública,0,,,False,0.0,0.0,0.0,76,Iniciante,1861,,DF,Pessoa / Criador,Não,Indefinido
atailde_limas,,atailde_limas Atailde Lima Da Silva Lima • Lavador de carro • Brasília - DF Atailde Lima Da Silva Lima • Lavador de carro • Brasília - DF,22,22,349,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,22,Iniciante,349,,DF,Pessoa / Criador,Não,Indefinido
eu_kawhanzin,,eu_kawhanzin Guilherme_kawhan18 every forever has a happy ending . GO/DF k ‍ k ‍,10,10,820,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@eu_kawhanzin?xmt=AQF06q0C7Nrfq8f8gEvGUBJhVBKHtboK_U2DkQmFqSX-Txs,False,Pública,0,,,False,0.0,0.0,0.0,10,Iniciante,820,,DF,Pessoa / Criador,Não,Indefinido
firma_na_traia,,"firma_na_traia 3. 3. ,8 mil ,8 mil 5. 5. Firma Na Traia Produções Criador(a) de conteúdo digital Brasília- DF / MG / GO / MT / PR / PE /TO Ç Õ ‍ Parcerias via Direct Firma Na Traia Destaques Firma Na Traia Destaques",3335,3335,10000,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@firma_na_traia?xmt=AQF0TpC-LfZ2kVSTq6vxKY7x48HHtuVbuuLUQk8lMik0xjU,False,Pública,0,,,False,0.0,0.0,0.0,3335,Nano,10000,,DF,Pessoa / Criador,Não,Indefinido
mariabotina.patosdeminas,,mariabotina.patosdeminas 5. 5. 5. 5. Maria Botina Patos de Minas ® ... mais mais wa.me/ Agosto/ AgroChapada25 julho/ Chapéus Mais Agro Junho/ Maio/ AgroBrasilia 2 AgroBrasília Abril Infantil Março abençoado Abril Fevereiro lindo Agosto/ AgroChapada25 julho/ Chapéus Mais Agro Junho/ Maio/ AgroBrasilia 2 AgroBrasília Abril Infantil Março abençoado Fevereiro lindo,176,176,5848,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,176,Iniciante,5848,Brasilia,DF,Pessoa / Criador,Não,Indefinido
emyes2,,emyes2 Emilly Oliveira Medicina Veterinária – UCB Brasília – DF | Goiás Emilly Oliveira Medicina Veterinária – UCB Brasília – DF | Goiás,10,10,965,False,,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,10,Iniciante,965,,DF,Pessoa / Criador,Sim,Indefinido
larissia_sousa,,larissia_sousa 5. 5. 2. 2. Larissia Sousa •‍Cristo é a fonte de água viva! • Contábeis 3/4 + 15k no TikTok DF // ‍ TO PI MA DF // ‍ TO PI MA,48,48,5959,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,16,https://www.threads.com/@larissia_sousa?xmt=AQF0sYGfrnUBqLjBe-SAuGvgsfueNjKDoKqSbDu2B2HGOGY,False,Pública,0,,,False,0.0,0.0,0.0,48,Iniciante,5959,,DF,Pessoa / Criador,Não,Indefinido
sol_bragaoficial,,sol_bragaoficial 5 5 Solange Braga Brasília-DF Bióloga Mãe da Gaby e do Pedro Professora,5,5,770,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,https://www.threads.com/@sol_bragaoficial?xmt=AQF0BuXjSXDUVuK5Xj3M6xagFKD_AKq6yrb5vSnnI4ubpC4,False,Pública,0,,,False,0.0,0.0,0.0,5,Iniciante,770,,DF,Empresa / Comércio,Não,Indefinido
