username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,foto_perfil.1,categoria,nome_completo.1,conta_comercial,destaque_stories,posts_recentes,engajamento_medio,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
jaine.gf,,jaine.gf Jaíne Guimarães Nutricionista Casada Mamãe Jaíne Guimarães Nutricionista Casada Mamãe,19,19,643,False,Seguir,0,clinicavidacfs.csv,2025-08-02,2,,False,Pública,0,,,False,0.0,0.0,0.0,19,Iniciante,643,,ES,Pessoa / Criador,Não,Indefinido
gama_j_p,,gama_j_p 1. 1. 4. 4. Jorge Pereira Gama Idas & Vindas INDEA - MT ES GPISI-UFR Nutripura ‍ Idas & Vindas INDEA - MT ES GPISI-UFR Nutripura ‍,107,107,1725,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,107,Iniciante,1725,,ES,Pessoa / Criador,Não,Indefinido
_andrefranca_,,_andrefranca_ 3 3 1. 1. 1. 1. Andre Franca | Linhares-ES | | Análise e desenvolvimento de sistemas,3,3,1086,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,https://www.threads.com/@_andrefranca_?xmt=AQF0UgwYo1dEinM5P_UtbvB8vg1Seqh3XOkEOA-ex-EQtOU,False,Pública,0,,,False,0.0,0.0,0.0,3,Iniciante,1086,,ES,Pessoa / Criador,Não,Indefinido
rodrgszx0_,,"rodrgszx0_ 0 0 Sofiaa Jesús es el Camino, la Verdad e la Vida. João :6",0,0,182,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@rodrgszx0_?xmt=AQF0Khg3txb5kFMLfG-Bg_S9-VE4OZ86rB9nFHRLuXuFqsw,False,Pública,0,,,False,0.0,0.0,0.0,0,Iniciante,182,,ES,Pessoa / Criador,Não,Indefinido
rojm92,,"rojm92 1. 1. R Lo que hagas para mejorar la vida de los demás, eso es lo que hará que tu vida cobre sentido. By. Mathin Luther King R Lo que hagas para mejorar la vida de los demás, eso es lo que hará que tu vida cobre sentido. By. Mathin Luther King",29,29,366,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,29,Iniciante,366,,ES,Pessoa / Criador,Não,Indefinido
kerinsoriano_sv69,,"kerinsoriano_sv69 2. 2. 1. 1. Kerin A Soriano ES , ̀ ̀ ... mais e mais 1 Kerin A Soriano ES , ̀ ̀ ... mais ES , ̀ ̀ ... mais mais e mais 1",463,463,2275,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,463,Iniciante,2275,,ES,Pessoa / Criador,Não,Indefinido
jesusvidal.411,,jesusvidal. 1. 1. 5. 5. Vidal Ramirez Criador(a) de conteúdo digital - Insistir persistir nunca desistir Vida sana la felicidad es la meta Amante de aventuras momentos Destacada momentos Destacada,265,265,1054,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@jesusvidal.411?xmt=AQF0obHHC51-JZ-brDPyvmz8N_aZvv_zCs0R7BTLBzec1cc,False,Pública,0,,,False,0.0,0.0,0.0,265,Iniciante,1054,,ES,Pessoa / Criador,Não,Indefinido
oficial_warlemsilva,,oficial_warlemsilva 1. 1. Warlem Silva Cafeicultor Ibitirama-ES Coração rubro negro Es friends Es friends,45,45,640,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@oficial_warlemsilva?xmt=AQF09C0iEEkzhjcN3xaZ19R82BV3Bn_mjgwi8i3TQdSN4Gw,False,Pública,0,,,False,0.0,0.0,0.0,45,Iniciante,640,,ES,Empresa / Comércio,Não,Indefinido
bravopiloto_22,,bravopiloto_22 3 3 Sérgio Gaiofatto Serra- Es / Há uma promessa linda na bíblia e ela diz:Não te deixarei e nem te abandonarei Sérgio Gaiofatto Serra- Es / Há uma promessa linda na bíblia e ela diz:Não te deixarei e nem te abandonarei,3,3,559,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,3,Iniciante,559,,ES,Pessoa / Criador,Não,Indefinido
liviaa_maria005,,liviaa_maria005 2. 2. °° {} °° {} L ES . . L ES .,122,122,2638,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,122,Iniciante,2638,,ES,Pessoa / Criador,Não,Indefinido
