username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,foto_perfil.1,categoria,nome_completo.1,conta_comercial,destaque_stories,posts_recentes,engajamento_medio,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
rosy.paz__,,"rosy.paz__ Rosy ‍ PA | A vida é curta, então faça valer a pena e crie memórias inesquecíveis Rosy ‍ PA | A vida é curta, então faça valer a pena e crie memórias inesquecíveis",351,351,240,False,Seguir,0,confresamtoficial.csv,2025-08-02,4,,False,Pública,0,,,False,0.0,0.0,0.0,351,Iniciante,240,,PA,Pessoa / Criador,Não,Indefinido
shayla_rodrigues,,shayla_rodrigues 1. 1. 1. 1. Shay Souza Pedagogia ‍ Tucuruí PA Novo Repartimento PA Gael Shay Souza Pedagogia ‍ Tucuruí PA Novo Repartimento PA Gael,540,540,1694,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,540,Iniciante,1694,,PA,Pessoa / Criador,Não,Indefinido
lariissa473,,"lariissa473 Lariissa Vieira PA CAPRICÓRNIANA JNR Leadership Lariissa Vieira PA CAPRICÓRNIANA JNR Leadership De lvs Dia das mães vms chegar lá Vl Onde descansa ‍ D,lvs Goolp Destaques De lvs Dia das mães vms chegar lá Vl Onde descansa ‍ D,lvs Goolp Destaques",33,33,710,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,33,Iniciante,710,,PA,Pessoa / Criador,Não,Indefinido
barreira.ofc25,,barreira.ofc25 6. 6. Barreira Dos Campos-Pa Barreira dos Campos - PA Praia do Boto | Natureza & Diversão Bem-vindos ao nosso paraíso! Registre e viva... mais Barreira Dos Campos-Pa Barreira dos Campos - PA Praia do Boto | Natureza & Diversão Bem-vindos ao nosso paraíso! Registre e viva... mais Barreira dos Campos - PA Praia do Boto | Natureza & Diversão Bem-vindos ao nosso paraíso! Registre e viva ... mais mais CANTÃO/RESORT POUSADAS CANTÃO/RESORT POUSADAS,134,134,6427,False,Seguir,0,fazendeeira.csv,2025-08-02,3,,False,Pública,0,,,False,0.0,0.0,0.0,134,Iniciante,6427,,PA,Pessoa / Criador,Não,Indefinido
nathallya_alves_,,nathallya_alves_ 1 1 2. 2. Nathallya /PA Nathallya /PA,1,1,2861,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,1,Iniciante,2861,,PA,Pessoa / Criador,Não,Indefinido
xbeatriz564,,"xbeatriz564 2 2 Ana Beatriz Brasil |pa ""se o mundo não te entendeu , cê não se fez entender"" Ana Beatriz Brasil |pa ""se o mundo não te entendeu , cê não se fez entender"" amigas me amigas me",2,2,466,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,2,Iniciante,466,,PA,Pessoa / Criador,Não,Indefinido
k.flemos,,k.flemos 3 3 | pa . . . . .,3,3,565,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,3,Iniciante,565,,PA,Pessoa / Criador,Não,Indefinido
layllasofia_sx,,layllasofia_sx 8 8 Laylla Sofia • PA/TO • + • / Laylla Sofia • PA/TO • + • /,8,8,904,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,8,Iniciante,904,,PA,Pessoa / Criador,Não,Indefinido
sandiellymenezes,,sandiellymenezes 0 0 2. 2. Sandielly Pa Sandielly Pa,0,0,2115,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,0,Iniciante,2115,,PA,Pessoa / Criador,Não,Indefinido
marcosrr0,,marcosrr0 5 5 3. 3. 1. 1. Marcos Patrocinnio O AGRO NÃO PARA!! PA/RR ‍EXECUTIVE 󠁧󠁢󠁥󠁮󠁧󠁿 Marcos Patrocinioll e mais 2,5,5,3000,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@marcosrr0?xmt=AQF0BUnQT6qUuoiO9xpBI9DAI-ylQ2nxcd4HAGUJAFVNg54,False,Pública,0,,,False,0.0,0.0,0.0,5,Iniciante,3000,,PA,Pessoa / Criador,Não,Indefinido
