username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,foto_perfil.1,categoria,nome_completo.1,conta_comercial,destaque_stories,posts_recentes,engajamento_medio,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
vitor_costafs,,vitor_costafs 2. 2. 2. 2. - Medicina | UFDPAR Memorias PI Fortal INTERMED NE Jeri Memorias PI Fortal INTERMED NE Jeri,22,22,2288,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,22,Iniciante,2288,,PI,Pessoa / Criador,Sim,Indefinido
_llukax_,,_llukax_ 0 0 Lucas Santos PI | years ADM 1/8 ‍TEC info Lucas Santos PI | years ADM 1/8 ‍TEC info agro,0,0,645,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,0,Iniciante,645,,PI,Pessoa / Criador,Sim,Indefinido
jonielton_almeida,,jonielton_almeida 7. 7. Jonielton Almeida AD JOW+ S.F-PI Crismado Misturinha.FC Verdão AD JOW+ S.F-PI Crismado Misturinha.FC Verdão,119,119,978,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@jonielton_almeida?xmt=AQF0aLHcciAjCIg-leiuGD27jhvz8HZpRXW0hifFkuXCBC4,False,Pública,0,,,False,0.0,0.0,0.0,119,Iniciante,978,,PI,Pessoa / Criador,Não,Indefinido
robertha8,,robertha8 9 9 1. 1. 2. 2. Brasil/C.PI Aprendendo e evoluindo cada vez mais‍ Brasil/C.PI Aprendendo e evoluindo cada vez mais‍,9,9,1183,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,9,Iniciante,1183,,PI,Pessoa / Criador,Não,Indefinido
itamarveras09,,itamarveras09 2. 2. 1. 1. ITAMAR VERAS Faça hoje o que vai te dar orgulho amanhã. Macapá - Pi Obrigado por tudo meu Deus Destaques Destaques Destaques Destaques Destaques,10,10,2476,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,10,Iniciante,2476,,PI,Pessoa / Criador,Não,Indefinido
nathyele_marquess,,"nathyele_marquess 8 8 1. 1. Nathyele Marques •The (PI) •Viva o presente ,sorria sempre •Ec: 3.1 Nathyele Marques •The (PI) •Viva o presente ,sorria sempre •Ec: 3.1 Momentos eu Momentos eu",8,8,1071,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,8,Iniciante,1071,,PI,Pessoa / Criador,Não,Indefinido
claraasantoss24,,claraasantoss24 2. 2. Anna_Santoss Pi Sempre volte para casa Endrick Ravi Yuri itael Filha do rei Anna_Santoss Pi Sempre volte para casa Endrick Ravi Yuri itael Filha do rei ‍ Endrick Família Academia ‍ Endrick Família Academia,86,86,2597,False,,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,86,Iniciante,2597,,PI,Empresa / Comércio,Não,Indefinido
breennda_transportadorafonseca,,breennda_transportadorafonseca 1. 1. 2. 2. Breennda | Transportadora Fonseca ... mais mais open.spotify.com/playlist/0XXukcjT8K9O17EETw4moP?si=-det0KBWTyGk4cA7HKfH5g&pi=wQwm2-R8TT20K e mais 1,95,95,1609,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,2,https://www.threads.com/@breennda_transportadorafonseca?xmt=AQF08x8Hy_b5R2N6pwlZ_mRjKG1WE7YupJ7TkiNlCUmZ8gg,False,Pública,0,,,False,0.0,0.0,0.0,95,Iniciante,1609,,PI,Pessoa / Criador,Não,Indefinido
leilabeatriz._,,"leilabeatriz._ 1. 1. leila costa +, pi •TI - ifpi • pedagogia • .pf",15,15,582,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,https://www.threads.com/@leilabeatriz._?xmt=AQF0C4BZ1XDAWvUrPNVCplN_ItLhmYWPe3UAWjiGumHyDLE,False,Pública,0,,,False,0.0,0.0,0.0,15,Iniciante,582,,PI,Pessoa / Criador,Não,Indefinido
erica_liciamk,,"loja.marykay.com.br/minha-vitrine?slug=licia erica_liciamk 3. 3. 7. 7. Érica Lícia Empreendedor(a) •Consultora da Mary Kay •Elevando sua autoestima e autocuidado ‍ •Nova Santa Rita-PI ""Resiliência"" Amigos Família Cabelo‍ Momentos Meus Bebês Mary Kay Euzinha curso Boomerang Afilhados Réveillon #Gratidão Amigos Família Cabelo‍ Momentos Meus Bebês Mary Kay Euzinha curso Boomerang Afilhados Réveillon #Gratidão",53,53,3127,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,53,Iniciante,3127,,PI,Empresa / Comércio,Não,Indefinido
js_junyorofc,,"js_junyorofc 1 1 Silva Js Confia ao Senhor as tuas obras, e teus pensamentos serão estabelecidos"" Motorista E Operador de máquinas pesadas PI... mais Confia ao Senhor as tuas obras, e teus pensamentos serão estabelecidos"" Motorista E Operador de máquinas pesadas PI ... mais mais",1,1,569,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,https://www.threads.com/@js_junyorofc?xmt=AQF0MsxyoHiypRa4Gzn5vaj_lun-B6EADE42sNYLWTMUSGM,False,Pública,0,,,False,0.0,0.0,0.0,1,Iniciante,569,,PI,Pessoa / Criador,Não,Indefinido
a.irismartins,,a.irismartins 0 0 Iris Martins y The-pi Cristã// handeboll Iris Martins y The-pi Cristã// handeboll,0,0,170,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,0,Iniciante,170,,PI,Pessoa / Criador,Não,Indefinido
