username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,foto_perfil.1,categoria,nome_completo.1,conta_comercial,destaque_stories,posts_recentes,engajamento_medio,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
luan.victor_16,,luan.victor_16 2 2 Luan Victor • Pedra Preta- RN • • vivendo por algo maior Luan Victor • Pedra Preta- RN • • vivendo por algo maior,2,2,328,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,2,Iniciante,328,,RN,Pessoa / Criador,Não,Indefinido
jadson_souza012,,jadson_souza012 1 1 1. 1. • RN| • Êxodo : • I Just need god.,1,1,352,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,https://www.threads.com/@jadson_souza012?xmt=AQF03ivtoS373iFoVDYh18plcbW_T57PeZRCVhsSwbwbP1A,False,Pública,0,,,False,0.0,0.0,0.0,1,Iniciante,352,,RN,Pessoa / Criador,Não,Indefinido
eu_frankzin,,"eu_frankzin 0 0 Franklly RN ""Só porque você fez algo ruim, não significa que você seja uma pessoa ruim."" ~Aubrey~ •OMORI• Franklly RN ""Só porque você fez algo ruim, não significa que você seja uma pessoa ruim."" ~Aubrey~ •OMORI•",0,0,117,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,0,Iniciante,117,,RN,Pessoa / Criador,Não,Indefinido
euckler_lauryckhoch,,euckler_lauryckhoch 4. 4. Euckler Lauryckhoch Empreendedor(a) Fazendeiro‍ Empreendedor Euckler Lauryckhoch Empreendedor(a) Fazendeiro‍ Empreendedor FazendaRibeirão PortoDeGalinhas Natal RN Fazenda 5.0 Pescaria Fazenda 4.0 Fazenda 3.0 Meu Fazenda 2.0 Lida na Roça‍ Boomerangs FazendaRibeirão PortoDeGalinhas Natal RN Fazenda 5.0 Pescaria Fazenda 4.0 Fazenda 3.0 Meu Fazenda 2.0 Lida na Roça‍ Boomerangs,17,17,980,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,17,Iniciante,980,,RN,Pessoa / Criador,Não,Indefinido
aldairsilva50,,aldairsilva50 1. 1. 4. 4. Aldair Silva Criador(a) de conteúdo digital Moro em Macau/RN.Formado como técnico em eletrotécnica pela instituição CTGÁS-ER/SENAI -Natal/RN Destaques Destaques Destaques Destaques Destaques Destaques Destaques Destaques Destaques Destaques Destaques Destaques Destaques Destaques Destaques,92,92,1952,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.facebook.com/profile.php?id=100004898652510&ref=_ig_profile_ac,False,Pública,0,,,False,0.0,0.0,0.0,92,Iniciante,1952,,RN,Pessoa / Criador,Não,Indefinido
vitoriialira_,,"vitoriialira_ 3 3 2. 2. 1. 1. Vitória Lira rn, Vitória Lira rn,",3,3,2346,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,3,Iniciante,2346,,RN,Pessoa / Criador,Não,Indefinido
graciele.araujoo_,,graciele.araujoo_ 3. 3. 1. 1. GRACIELE ARAÚJO Crux Sacra Sit Mihi Lux RN Enfer Técnica em Enfermagem ‍ Provérbios: GRACIELE ARAÚJO Crux Sacra Sit Mihi Lux RN Enfer Técnica em Enfermagem ‍ Provérbios:,12,12,3250,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,12,Iniciante,3250,,RN,Pessoa / Criador,Não,Indefinido
queirozsirlene,,queirozsirlene mil mil 1. 1. Sirlene Queiroz Empreendedor(a) Tumblr Natal / RN Porto Seguro Sao paulo Maragogi Porto de galinh Rio quente Meu lugar ! Tumblr Natal / RN Porto Seguro Sao paulo Maragogi Porto de galinh Rio quente Meu lugar !,990,990,10000,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,https://www.threads.com/@queirozsirlene?xmt=AQF0p3VKvu-DQ1DUV7ojvOgjATP5iv2LaouWXyOKxmQEbfM,False,Pública,0,,,False,0.0,0.0,0.0,990,Iniciante,10000,,RN,Pessoa / Criador,Não,Indefinido
luara_suryia,,"luara_suryia 1 1 2. 2. 1. 1. ʟᴜᴀʀᴀ ᴏʟɪᴠᴇɪʀᴀ | | • rn, brαsil ʟᴜᴀʀᴀ ᴏʟɪᴠᴇɪʀᴀ | | • rn, brαsil",1,1,2617,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,1,Iniciante,2617,,RN,Pessoa / Criador,Não,Indefinido
victorbavutti,,victorbavutti Victor Bavutti Sobrinho Agronomia 2/ Victor Bavutti Sobrinho Agronomia 2/ roça Natal-RN V roça Natal-RN V,15,15,862,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,2,,False,Pública,0,,,False,0.0,0.0,0.0,15,Iniciante,862,,RN,Pessoa / Criador,Não,Indefinido
ramcello6,,"ramcello6 1. 1. Aly Rama Traoré Paí de uma Princesa Natal RN Da Guiné Nunca foi Sorte, Sempre foi DEUS",63,63,249,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,https://www.threads.com/@ramcello6?xmt=AQF0Zi1UklNRmUePH1dJ1eqphTT9IPQK83CNYL0YxelgqCs,False,Pública,0,,,False,0.0,0.0,0.0,63,Iniciante,249,,RN,Pessoa / Criador,Não,Indefinido
rafarodriguesnunes.rn,,rafarodriguesnunes.rn 2. 2. 2. 2. Rafael Rodrigues Figura pública Deus no comando ‍ Recursos Humanos Rafael Rodrigues Figura pública Deus no comando ‍ Recursos Humanos Rio tapirapé João Pessoa Viagens Rio tapirapé João Pessoa Viagens,111,111,2138,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,111,Iniciante,2138,,RN,Pessoa / Criador,Não,Indefinido
dauanna_oficial,,dauanna_oficial 2. 2. 6. 6. Dauanna_Kelly *Blogue Pessoal* ‍Natal/ RN tec.enfermagem at... mais *Blogue Pessoal* ‍Natal/ RN tec.enfermagem at ... mais mais,272,272,2070,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,https://www.threads.com/@dauanna_oficial?xmt=AQF0Vlv6O8WLVRmcNLwIVV4W8vRQq1pmnkeQ0TttngsxdWM,False,Pública,0,,,False,0.0,0.0,0.0,272,Iniciante,2070,,RN,Pessoa / Criador,Não,Indefinido
sanaraerica,,"sanaraerica ,8 mil ,8 mil 3. 3. Erica Sanara Blog pessoal Frutuoso Gomes RN/São Paulo Aquáriana PARCERIAS Mãe da Maitê e Pierre APAIXONADA POR JESUS Erica Sanara e mais 2 Branquelo 1* Show d’Maitê Natal/Ano novo Fim ano letivo Gra. F amarela 1* Fest Natação 1* atividadeCEI Cid das abelhas 1 B Arraia da Maitê Feira do Arnold Garota Vip Pega a Dica Villa country Branquelo 1* Show d’Maitê Natal/Ano novo Fim ano letivo Gra. F amarela 1* Fest Natação 1* atividadeCEI Cid das abelhas 1 B Arraia da Maitê Feira do Arnold Garota Vip Pega a Dica Villa country",146,146,10000,False,Seguir,0,laizamassoneleonardo.csv,2025-08-02,1,https://www.threads.com/@sanaraerica?xmt=AQF01_XjFVoUjvTawueAwkzoS4cECAojxqUeCc56UUuQJuo,False,Pública,0,,,False,0.0,0.0,0.0,146,Iniciante,10000,São Paulo,RN,Pessoa / Criador,Não,Indefinido
