username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,foto_perfil.1,categoria,nome_completo.1,conta_comercial,destaque_stories,posts_recentes,engajamento_medio,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
joaojdg,,joaojdg 3 3 1. 1. 1. 1. João De Gouveia Venezolano Chapecó SC João De Gouveia Venezolano Chapecó SC,3,3,1899,False,Seguir,0,confresamtoficial.csv,2025-08-02,2,,False,Pública,0,,,False,0.0,0.0,0.0,3,Iniciante,1899,,SC,Pessoa / Criador,Não,Indefinido
o.ruaneduardo,,o.ruaneduardo 1 1 Ruan SC | Romanos 8. | ‍ Oucloc | Ruan SC | Romanos 8. | ‍ Oucloc | ‍,1,1,835,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,1,Iniciante,835,,SC,Pessoa / Criador,Não,Indefinido
dai.lyaninha.sc,,dai.lyaninha.sc 4 4 1. 1. 2. 2. . . . .,4,4,1089,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@dai.lyaninha.sc?xmt=AQF09foNnTHdf0tB-4MYd7nIWRuPmardDZTqiqh3r1jaPQ0,False,Pública,0,,,False,0.0,0.0,0.0,4,Iniciante,1089,,SC,Pessoa / Criador,Não,Indefinido
eloisa_roberta_,,eloisa_roberta_ 3 3 Eloisa Roberta Mariano Da Silva Aw•sc,3,3,935,False,Seguir,0,fazendeeira.csv,2025-08-02,2,https://www.threads.com/@eloisa_roberta_?xmt=AQF0NLAaudP60ZJopgCCNyVtsKt0tm4GJTrHk8MDp_cC07Y,False,Pública,0,,,False,0.0,0.0,0.0,3,Iniciante,935,,SC,Pessoa / Criador,Não,Indefinido
lourdessohndepaula,,lourdessohndepaula 1. 1. 2. 2. Lourdes Sohn Paula Criador(a) de conteúdo digital De Itapiranga SC para o mundo . Lourdes Sohn Paula Criador(a) de conteúdo digital De Itapiranga SC para o mundo . Destaques Destaques,59,59,1150,False,Seguir,0,fazendeeira.csv,2025-08-02,3,,False,Pública,0,,,False,0.0,0.0,0.0,59,Iniciante,1150,,SC,Pessoa / Criador,Não,Indefinido
juni_menez,,juni_menez 4 4 Júnior Menezes SE/SC,4,4,213,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@juni_menez?xmt=AQF0KZOOuwa6ybgGuJm-joM9rT0gMFXiegf098YqdSyWSLM,False,Pública,0,,,False,0.0,0.0,0.0,4,Iniciante,213,,SC,Pessoa / Criador,Não,Indefinido
eduardo_emanuel33,,eduardo_emanuel33 Eduardo Emanuel Deus acima de todas as coisas Cac atirador colecionador caçador controlador de Javali Lebon Régis-sc,12,12,307,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@eduardo_emanuel33?xmt=AQF0Ydxwat6CfgdP6jDH2JV4S_j-k3xkCquVoPODuBateDY,False,Pública,0,,,False,0.0,0.0,0.0,12,Iniciante,307,,SC,Pessoa / Criador,Não,Indefinido
jdlf411,,jdlf411 4. 4. Jesus De La Fuente Enjoying life one day at a time! SC: jdlf0411 I Can Do All Things Through Christ Who Strengthens Me Philippians... mais Jesus De La Fuente Enjoying life one day at a time! SC: jdlf0411 I Can Do All Things Through Christ Who Strengthens Me Philippians... mais Enjoying life one day at a time! SC: jdlf0411 I Can Do All Things Through Christ Who Strengthens Me Philippians ... mais mais,81,81,343,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,81,Iniciante,343,,SC,Pessoa / Criador,Não,Indefinido
nereu.campos.18,,nereu.campos. 3 3 1. 1. Nereu Campos ITAPEMA - SC RIO DE JANEIRO CORITIBA ITAPEMA - SC RIO DE JANEIRO CORITIBA,3,3,464,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,3,Iniciante,464,Rio De Janeiro,SC,Pessoa / Criador,Não,Indefinido
andreepereiraofc,,andreepereiraofc 9 9 Andre Pereira Brusque Sc Andre Pereira Brusque Sc,9,9,648,False,Seguir,0,fazendeeira.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,9,Iniciante,648,,SC,Pessoa / Criador,Não,Indefinido
