username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,foto_perfil.1,categoria,nome_completo.1,conta_comercial,destaque_stories,posts_recentes,engajamento_medio,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
zildamgabriel,,zildamgabriel 1. 1. 2. 2. Zilda Melo # Zilda Melo # Destaques Mogi Guaçu SP Destaques Destaques Mogi Guaçu SP,98,98,1230,False,Seguir,0,clinicavidacfs.csv,2025-08-02,12,,False,Pública,0,,,False,0.0,0.0,0.0,98,Iniciante,1230,,SP,Pessoa / Criador,Não,Indefinido
jeniferreirasilva,,jeniferreirasilva 1. 1. 1. 1. Jenifer Ferreira Médica - Limeira SP - Medicina do trabalho e Perícias... mais Médica - Limeira SP - Medicina do trabalho e Perícias ... mais mais,248,248,1553,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,https://www.threads.com/@jeniferreirasilva?xmt=AQF0cp_v9rY5ETI4IJ2lbpgly-kCRY6TC_tfapc-ENSTdEQ,False,Pública,0,,,False,0.0,0.0,0.0,248,Iniciante,1553,,SP,Pessoa / Criador,Sim,Indefinido
emersonrodrigues_vx,,emersonrodrigues_vx 1. 1. 2. 2. Emerson R Santos kauê Love alt Brasil confr Destaques Castilho SP kauê Love alt Brasil confr Destaques Castilho SP,157,157,1066,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,https://www.threads.com/@emersonrodrigues_vx?xmt=AQF0CkpW5Loleu9rLMzSyLob2kYKMtNJcBQxwgSzEekLLII,False,Pública,0,,,False,0.0,0.0,0.0,157,Iniciante,1066,,SP,Pessoa / Criador,Não,Indefinido
rf.andrade28,,rf.andrade28 2. 2. 1. 1. Rafaela Andrade Médica Veterinária CRMV/SP -3 Brejo Alegre -Sp TODA HONRA E GLÓRIA A DEUS Rafaela Andrade Médica Veterinária CRMV/SP -3 Brejo Alegre -Sp TODA HONRA E GLÓRIA A DEUS,21,21,2361,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,21,Iniciante,2361,,SP,Pessoa / Criador,Não,Indefinido
thiago3460,,thiago3460 2. 2. 2. 2. Thiago Borges Andrade Advogado ‍Professor e Pesquisador Pós Graduando Dir. Penal Mestre em Dir. Agronegócio UniRV Pós Graduado CPC... mais Advogado ‍Professor e Pesquisador Pós Graduando Dir. Penal Mestre em Dir. Agronegócio UniRV Pós Graduado CPC ... mais mais Pousada Arraial d Ajuda Chapada Punta Cana 2 Punta cana Chile Santuário Campos Jordão SP e Riviera Jericoacoara Diversos Diversos Selfies Pousada Arraial d Ajuda Chapada Punta Cana 2 Punta cana Chile Santuário Campos Jordão SP e Riviera Jericoacoara Diversos Selfies,237,237,2569,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,https://www.threads.com/@thiago3460?xmt=AQF0Sy__YmACmRMJ02zhoe7BhcQWfQhWSRryq-Ur0AYWpGA,False,Pública,0,,,False,0.0,0.0,0.0,237,Iniciante,2569,,SP,Pessoa / Criador,Não,Indefinido
saymon.om,,"saymon.om 2. 2. Saymon Macedo x1club.com.br e mais 1 Seguido(a) por jordanalogradoo, laisagabriela_ e outras 5 pessoas jordanalogradoo laisagabriela_ Viagens SP SETMIDIA Kiwify Coffe Viagens SP SETMIDIA Kiwify Coffe",171,171,2278,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,https://www.threads.com/@saymon.om?xmt=AQF0oJH3JIpkjkBKdUpDOyUCmbi5-R9jF_Hq7871Iyo4tsw,False,Pública,0,,,False,0.0,0.0,0.0,171,Iniciante,2278,,SP,Pessoa / Criador,Não,Indefinido
lorenawmelo_,,"lorenawmelo_ 0 0 Lorena João 3: santa cruz, sp. vsco.co/lorenawmeloo",0,0,343,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,0,Iniciante,343,,SP,Pessoa / Criador,Não,Indefinido
maria_isabel_maroa,,"maria_isabel_maroa 3. 3. Maria Isabel .Mineira ,desde .Cabreúva,sp",12,12,3093,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@maria_isabel_maroa?xmt=AQF0ATHl7Qr6WfcCjx3YZbq8CQ56IjB2GABl_XuAyb2JuF8,False,Pública,0,,,False,0.0,0.0,0.0,12,Iniciante,3093,,SP,Pessoa / Criador,Não,Indefinido
anacarolinefranca_,,"anacarolinefranca_ 1. 1. Ana Caroline São Paulo - SP ""Além do que se vê...""",171,171,1846,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@anacarolinefranca_?xmt=AQF0NCo3M0Wb1GAp6qakpSLb7JgHy0pz5_m1pfL5GK1uyXo,False,Pública,0,,,False,0.0,0.0,0.0,171,Iniciante,1846,São Paulo,SP,Pessoa / Criador,Não,Indefinido
_kapy_patrussi_,,_kapy_patrussi_ 1 1 1. 1. Kaue Patrussi •sp •̃ : kapy minhas lindas só os mano eda!!! kapy minhas lindas só os mano eda!!!,1,1,626,False,Seguir,0,fazendeeira.csv,2025-08-02,1,https://www.threads.com/@_kapy_patrussi_?xmt=AQF0r4mb7SKJZu2BtYbUG-z6RYqgd2PyfkOtaszq1dTphXU,False,Pública,0,,,False,0.0,0.0,0.0,1,Iniciante,626,,SP,Pessoa / Criador,Não,Indefinido
