username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,foto_perfil.1,categoria,nome_completo.1,conta_comercial,destaque_stories,posts_recentes,engajamento_medio,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
dah_nunez,,dah_nunez 2 2 born to die,2,2,978,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,2,Iniciante,978,,TO,Pessoa / Criador,Não,Indefinido
acaicreme.gpi,,"contate.me/acaicreme acaicreme.gpi 1. 1. Açai Creme Avenida Para, entre ruas 9 e - Centro. Gurupi/To. ⏰Atendimento todos os dias, das : às : Fale com a gente... mais Avenida Para, entre ruas 9 e - Centro. Gurupi/To. ⏰Atendimento todos os dias, das : às : Fale com a gente ... mais mais Seguido(a) por rosetania_correia rosetania_correia",85,85,1062,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,https://www.threads.com/@acaicreme.gpi?xmt=AQF0KBINHgMRdXjMURizI1Ke40OWnxOuwxZsYg2RVMG48iM,False,Pública,0,,,False,0.0,0.0,0.0,85,Iniciante,1062,Gurupi,TO,Pessoa / Criador,Não,Indefinido
mariany__da__silva,,mariany__da__silva 1. 1. mariany |Brasilândia I belong to god‍‍ |futvôlei mariany |Brasilândia I belong to god‍‍ |futvôlei,19,19,329,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,19,Iniciante,329,,TO,Pessoa / Criador,Não,Indefinido
yasmin_brutona,,yasmin_brutona 5 5 2. 2. pimentinha Yasmin moro em Araguaína Tocantins faço aniversário em outubro dia 31meu signo é escorpião tenho 31anos pimentinha Yasmin moro em Araguaína Tocantins faço aniversário em outubro dia 31meu signo é escorpião tenho 31anos,5,5,246,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,5,Iniciante,246,Araguaína,TO,Pessoa / Criador,Não,Indefinido
david_batista_19,,david_batista_19 3 3 David Batista 2/8 π - Seguido(a) por camisa63.to camisa63.to,3,3,882,False,Seguir,0,confresamtoficial.csv,2025-08-02,12,,False,Pública,0,,,False,0.0,0.0,0.0,3,Iniciante,882,,TO,Pessoa / Criador,Não,Indefinido
luisa_helena_andrade,,luisa_helena_andrade 6 6 Luisa Helena TO | Barrel racing Luisa Helena TO | Barrel racing,6,6,508,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,6,Iniciante,508,,TO,Pessoa / Criador,Não,Indefinido
_rengel_23,,_rengel_23 4 4 Wanessa Stefany Pessoas silenciosas têm as mentes mais barulhentas. Palmas - TO,4,4,261,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,https://www.threads.com/@_rengel_23?xmt=AQF0ISIb9d41HqivVkGMd-_sy90FvzszCr1YBosQebHhvgU,False,Pública,0,,,False,0.0,0.0,0.0,4,Iniciante,261,Palmas,TO,Pessoa / Criador,Não,Indefinido
carvalho_wttz__,,"carvalho_wttz__ 2. 2. 6. 6. Lívia #Flamengo 1?y / ""Leave behind everything that doesn't take you forward"". ... mais #Flamengo 1?y / ""Leave behind everything that doesn't take you forward"". ... mais mais My Sexy Irmã My solo purai my família jhey irmão euzinha my amigas TO euzinha Euzinha My Sexy Irmã My solo purai my família jhey irmão euzinha my amigas TO euzinha Euzinha",139,139,2034,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,https://www.threads.com/@carvalho_wttz__?xmt=AQF0nk5agspOzEYx2OGd1IaLBdjuZmmLylOir-eiZ4ZcToM,False,Pública,0,,,False,0.0,0.0,0.0,139,Iniciante,2034,,TO,Pessoa / Criador,Não,Indefinido
roselaine.ribeiro,,roselaine.ribeiro Roselaine Ribeiro Seguido(a) por camisa63.to camisa63.to,16,16,564,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,16,Iniciante,564,,TO,Pessoa / Criador,Não,Indefinido
lorrane_silva_21,,lorrane_silva_21 1. 1. Blogueiro(a) Educação Física 4/8 ‍‍ Lorrane Da Silva Familia Palmas ‍‍ Familia Palmas ‍‍,14,14,1772,False,Seguir,0,confresamtoficial.csv,2025-08-02,3,https://www.threads.com/@lorrane_silva_21?xmt=AQF0GRLXRoeZhLNZtcHU0zOYgBCzB1rJzcLNwIWiYGh9MuM,False,Pública,0,,,False,0.0,0.0,0.0,14,Iniciante,1772,Palmas,TO,Pessoa / Criador,Não,Indefinido
bos_talikida_aaain,,bos_talikida_aaain 3 3 to let__ Tenho um bom humor (Confia ) to let__ Tenho um bom humor (Confia ),3,3,22,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,3,Iniciante,22,,TO,Pessoa / Criador,Não,Indefinido
reis_021_cl,,"reis_021_cl reis_ I've made enough noise, it's time to be quiet MAMT Filho Filho",16,16,598,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,https://www.threads.com/@reis_021_cl?xmt=AQF0S_CXQuEEFtuhua_BP5aon9ptiY2LZp1p7R_2UhxCce4,False,Pública,0,,,False,0.0,0.0,0.0,16,Iniciante,598,,TO,Pessoa / Criador,Não,Indefinido
gustavopirini,,"gustavopirini 1. 1. 1. 1. Gustavo Pirini Palmas-TO Treino corpo e mente, cuido do sorriso e faço o dinheiro trabalhar, com a bênção de Deus. Saúde •... mais Gustavo Pirini Palmas-TO Treino corpo e mente, cuido do sorriso e faço o dinheiro trabalhar, com a bênção de Deus. Saúde •... mais Palmas-TO Treino corpo e mente, cuido do sorriso e faço o dinheiro trabalhar, com a bênção de Deus. Saúde • ... mais mais",28,28,1949,False,,0,doutorsorrisoconfresa.csv,2025-08-02,2,,False,Pública,0,,,False,0.0,0.0,0.0,28,Iniciante,1949,Palmas,TO,Pessoa / Criador,Não,Indefinido
