username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,foto_perfil.1,categoria,nome_completo.1,conta_comercial,destaque_stories,posts_recentes,engajamento_medio,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
erinaldo.gg,,"erinaldo.gg 2. 2. ,6 mil ,6 mil 7. 7. ERINALDO GG | INFLUENCIADOR DO ARAGUAIA! Figura pública Erinaldo Silva Melo",2067,2067,10000,False,,0,clinicaimedconfresa.csv,2025-08-02,8,https://www.threads.com/@erinaldo.gg?xmt=AQF0id0VBblAvL5NQYZVGgNsWE2ElcCQM1tE60jdIp9MFDw,False,Pública,0,,,False,0.0,0.0,0.0,2067,Nano,10000,,,Pessoa / Criador,Não,Indefinido
valemarketing360,,valemarketing360 1. 1. 5. 5. VALE | MARKETING DIGITAL Amplas soluções de Marketing. Do Vale do Araguaia para o Mundo. Converse com a gente: clique-aqui.net/vale-marketing-,1995,1995,5552,False,Seguir,0,clinicavidacfs.csv,2025-08-02,5,,False,Pública,0,,,False,0.0,0.0,0.0,1995,Nano,5552,,,Pessoa / Criador,Não,Indefinido
mariaherlaine,,mariaherlaine 2. 2. 1. 1. 4. 4. Maria Herlaine Cangussu de Lima,2639,2639,1961,False,Seguir,0,clinicavidacfs.csv,2025-08-02,3,,False,Pública,0,,,False,0.0,0.0,0.0,2639,Nano,1961,,,Pessoa / Criador,Não,Indefinido
leidymenezesss,,leidymenezesss 2. 2. mil mil 5. 5. Leidy Menezes/ Influenciadora Digital Confresa Rotina de dona de Casa. Promoções/Novidades/Humor api.whatsapp.com/send?phone= e mais 2 Feedback Sobre mim Acessórios Receita Niver 4⃣4⃣ Bares e Lanche Laboratório Loja de Criança Pula Pula/Alugu Cama/Mesa/Banho Volta às Aulas Feedback Sobre mim Acessórios Receita Niver 4⃣4⃣ Bares e Lanche Laboratório Loja de Criança Pula Pula/Alugu Cama/Mesa/Banho Volta às Aulas,2045,2045,10000,False,Seguir,0,clinicavidacfs.csv,2025-08-02,9,https://www.threads.com/@leidymenezesss?xmt=AQF039nABY-b8qpZYgvnpZRG2WF6Fif6W4ZMmMFY-7xgqQ8,False,Pública,0,,,False,0.0,0.0,0.0,2045,Nano,10000,,,Empresa / Comércio,Não,Indefinido
marlisaperondi,,"marlisaperondi 2. 2. 4. 4. 4. 4. Marlisa Perondi Não basta ser bom no que faz, é preciso ser ético e humano! •Empreendedor(a) •Cristã •Rio Grande do Sul/Confresa... mais Não basta ser bom no que faz, é preciso ser ético e humano! •Empreendedor(a) •Cristã •Rio Grande do Sul/Confresa ... mais mais",2187,2187,4100,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,https://www.threads.com/@marlisaperondi?xmt=AQF0H-kcCEuCtYygZOqbrm8Uepbw1CBxpMixgoRsA8Btwys,False,Pública,0,,,False,0.0,0.0,0.0,2187,Nano,4100,,,Pessoa / Criador,Não,Indefinido
dra.niegesouza,,"dra.niegesouza 1. 1. 8. 8. 3. 3. Dra Niege Souza | Ginecologia e Estética Íntima Esposa, mãe, cristã e médica Cuido da saúde íntima e sexualidade da mulher em todas as fases. CRM • RQE ... mais Esposa, mãe, cristã e médica Cuido da saúde íntima e sexualidade da mulher em todas as fases. CRM • RQE ... mais mais bio.site/draniegesouza Estetica Íntima Procedimentos EUA EUA - 2 Casamento Civil Noivado Formatura Estetica Íntima Procedimentos EUA EUA - 2 Casamento Civil Noivado Formatura",1140,1140,8510,False,Seguir,0,clinicavidacfs.csv,2025-08-02,8,,False,Pública,0,,,False,0.0,0.0,0.0,1140,Nano,8510,,,Empresa / Comércio,Não,Indefinido
joycebarrosfotografa,,api.whatsapp.com/send?1=pt_BR&phone= joycebarrosfotografa 1. 1. 8. 8. 5. 5. JOYCE BARROS FOTOGRAFA Fotógrafo(a) EMPREENDEDORA - CASAMENTOS - ENSAIO GESTANTE - EVENTOS EM GERAL. ORÇAMENTO VIA Whatsapp Bastidores Álbum Casamentos Destaques Destaques Destaques Destaques Destaques Destaques Destaques Destaques Destaques Destaques Destaques Bastidores Álbum Casamentos Destaques,1319,1319,8743,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,https://www.threads.com/@joycebarrosfotografa?xmt=AQF0kddYSy3K7-Q6qcmq8Tvi-aBtYFIs9dE9HBJvuIOfc1s,False,Pública,0,,,False,0.0,0.0,0.0,1319,Nano,8743,,,Empresa / Comércio,Não,Indefinido
store.lee,,store.lee 3. 3. 6. 6. 1. 1. Lee SINCE Multimarcas Enviamos para todo COMPRE AQUI e mais 1 PROMO ‍ INVERNO VERÃO GUIA DE #todeleestore LEE TRUQUEIRA FEEDBACK Arraial Lee INVERNO INVERNO 2 INVERNO #todeleestore OUTONO PROMO ‍ INVERNO VERÃO GUIA DE #todeleestore LEE TRUQUEIRA FEEDBACK Arraial Lee INVERNO INVERNO 2 INVERNO OUTONO,3861,3861,6334,False,Seguir,0,clinicavidacfs.csv,2025-08-02,2,https://www.threads.com/@store.lee?xmt=AQF0ReBDuqcUynUPC4EtsZGquzIZmPLDpkftPG4bps9R3kI,False,Pública,0,,,False,0.0,0.0,0.0,3861,Nano,6334,,,Empresa / Comércio,Não,Indefinido
garotada.store,,"garotada.store 1. 1. 8. 8. Enxoval, Brinquedos, Calçados, Roupa Infantil e Teen! Para mamães que buscam Conforto e Estilo para seus filhos, porque criança precisa de diversão e criatividade!... mais Av Centro Oeste, N -Centro, Confresa, Brazil linktr.ee/garotadastore e mais 1 Enxoval, Brinquedos, Calçados, Roupa Infantil e Teen! Para mamães que buscam Conforto e Estilo para seus filhos, porque criança precisa de diversão e criatividade!... mais Para mamães que buscam Conforto e Estilo para seus filhos, porque criança precisa de diversão e criatividade! ... mais mais linktr.ee/garotadastore e mais 1 Conj Precoce Brinquedos Arraiá Bebês Botas Clientes Informação All star Materiais Brinquedos Pijamas Enxoval Mini Clientes Calçados Conj Precoce Brinquedos Arraiá Bebês Botas Clientes Informação All star Materiais Pijamas Enxoval Mini Clientes Calçados",1855,1855,8321,False,Seguir,0,clinicavidacfs.csv,2025-08-02,7,,False,Pública,0,,,False,0.0,0.0,0.0,1855,Nano,8321,,,Empresa / Comércio,Não,Indefinido
dr.leo_moreira,,linktr.ee/dr.leonardoms dr.leo_moreira 1. 1. 4. 4. 2. 2. Leonardo Moreira | Saúde do Aparelho Digestivo e Endoscopia Blog pessoal ‍ CRM | Confresa - MT Pós-graduado em Gastroenterologia e Endoscopia Sua saúde digestiva começa aqui ... mais ‍ CRM | Confresa - MT Pós-graduado em Gastroenterologia e Endoscopia Sua saúde digestiva começa aqui ... mais mais Dicas Exames Depoimentos Consultório SalvadorJalapao Recife-PE Maceio-AL Brasilia TBT aleatório Destaques Bahía-Prado AME A CATARINA Revalida Formatura‍ Dicas Exames Depoimentos Consultório SalvadorJalapao Recife-PE Maceio-AL Brasilia TBT aleatório Destaques Bahía-Prado AME A CATARINA Revalida Formatura‍,1177,1177,4088,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,https://www.threads.com/@dr.leo_moreira?xmt=AQF0qOdUZbrrBregR3emlYyy2KznGtS-dqCb-9b0b1I5UCY,False,Pública,0,,,False,0.0,0.0,0.0,1177,Nano,4088,Brasilia,AL,Pessoa / Criador,Não,Indefinido
negaloramt,,wa.me/message/4BRNI5Z6NLJIE1 negaloramt 1. 1. 5. 5. 2. 2. Criador(a) de conteúdo digital CONFRESA AUTOEXPRESSÃO EMPODERADA! As melhores marcas Feminino e Masculino ... mais CONFRESA AUTOEXPRESSÃO EMPODERADA! As melhores marcas Feminino e Masculino ... mais mais New Collection FUNCIONAMENTO LOCALIZAÇÃO CLIENTES CONTATO TROCA ACESSÓRIOS New Collection FUNCIONAMENTO LOCALIZAÇÃO CLIENTES CONTATO TROCA ACESSÓRIOS,1085,1085,5634,False,Seguir,0,clinicavidacfs.csv,2025-08-02,5,,False,Pública,0,,,False,0.0,0.0,0.0,1085,Nano,5634,,,Pessoa / Criador,Não,Indefinido
leticiafariasmakeup,,"leticiafariasmakeup 1. 1. ,6 mil ,6 mil 3. 3. Letícia Farias Espinosa - Maquiadora Profissional • Atendimentos Maquiagem/ Design de sobrancelhas • NOIVAS • Curso profissional VIP/ Auto maquiagem • Confresa-MT •... mais • Atendimentos Maquiagem/ Design de sobrancelhas • NOIVAS • Curso profissional VIP/ Auto maquiagem • Confresa-MT • ... mais mais api.whatsapp.com/send?1=pt_BR&phone= Sobrancelhas FEEDBACK PRODUTOS CURSOS NOIVAS CURSOS Halloween PRODUTOS WORKSHOPS CURSOS WORKSHOPS WORKSHOP WORKSHOP PASSO A PASSO Sobrancelhas FEEDBACK PRODUTOS CURSOS NOIVAS Halloween WORKSHOPS WORKSHOP PASSO A PASSO",1703,1703,10000,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,1703,Nano,10000,,MT,Empresa / Comércio,Não,Indefinido
jaelsonazevedocarmo,,jaelsonazevedocarmo 2. 2. jaelson Azevêdo Carmo,2620,2620,50,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,2620,Nano,50,,,Pessoa / Criador,Não,Indefinido
ailladorameira,,"beacons.ai/ailladorameira ailladorameira 3. 3. ,1 mil ,1 mil Ailla Dorameira dicas de doramas | cultura asiática | novidades e reviews tudo aqui é meme e minha opinião pessoal acesse meus... mais dicas de doramas | cultura asiática | novidades e reviews tudo aqui é meme e minha opinião pessoal acesse meus ... mais mais sem anúncios meus templates assistidos plagiadora eu caso Sae Ron ‍ Bonflly msg do dia melhor dorama eu e ele mini dramas dias c kdrama dias c kdrama quadro ""melhor"" sem anúncios meus templates assistidos plagiadora eu caso Sae Ron ‍ Bonflly msg do dia melhor dorama eu e ele mini dramas dias c kdrama dias c kdrama quadro ""melhor""",3198,3198,10000,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,https://www.threads.com/@ailladorameira?xmt=AQF0c4Tk8XWLNrnKfawKn2MvFr7o6HbsmuxRjc3rWEJhuPs,False,Pública,0,,,False,0.0,0.0,0.0,3198,Nano,10000,,,Pessoa / Criador,Não,Indefinido
aurij6703,,aurij6703 2. 2. 4. 4. 6. 6. Aurijane de Jesus ã,2892,2892,4159,False,Seguir,0,confresamtoficial.csv,2025-08-02,5,https://www.threads.com/@aurij6703?xmt=AQF04Zm2BEV-9BuVOd-SLOMSlNVWos5gCuMclhEZOFqsgng,False,Pública,0,,,False,0.0,0.0,0.0,2892,Nano,4159,,,Pessoa / Criador,Não,Indefinido
gi_bolosconfeitaria,,wa.me/ gi_bolosconfeitaria 1. 1. 1. 1. 1. 1. Gi bolos confeitaria cake e designer Empreendedor(a) Confeitaria profissional Confresa-MT ⏰Horário de funcionamento: Terça à Domingo das 8: às : Páscoa os grandes casamento Páscoa os grandes casamento,1706,1706,1380,False,Seguir,0,confresamtoficial.csv,2025-08-02,1,https://www.threads.com/@gi_bolosconfeitaria?xmt=AQF06DJIIajaEUVKYFeAEBYEWjTXmlGl13hs0ZRniBBVgrM,False,Pública,0,,,False,0.0,0.0,0.0,1706,Nano,1380,,MT,Pessoa / Criador,Não,Indefinido
