username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,verificado,status_relacao,foto_perfil,arquivo_origem,data_leitura,quantidade_aparicoes,link_externo,verificado.1,status_conta,foto_perfil.1,categoria,nome_completo.1,conta_comercial,destaque_stories,posts_recentes,engajamento_medio,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
daniimidias,,daniimidias Daniella | Designer & Social Media Transformo negócios em marcas fortes Design com propósito e conteúdo que atrai Sua mudança começa aqui↙ wa.me/message/HZUFNBZNPTE3N1 Clientes SM lifestyle Bastidores O que dizem Serviços Clientes SM lifestyle Bastidores O que dizem Serviços,17,17,352,False,,0,clinicaimedconfresa.csv,2025-08-02,16,https://www.threads.com/@daniimidias?xmt=AQF0DYRwkF2wIWqWDRA40XYHKV2swcDqHs79QpRGbQtVvDI,False,Pública,0,,,False,0.0,0.0,0.0,17,Iniciante,352,,,Empresa / Comércio,Não,Indefinido
draannaleticiamello,,draannaleticiamello 1. 1. 1. 1. Anna Leticia Mello Médica Cardiologista e Clínica Médica. Centro de Cardiologia Integrada Anna Leticia Mello Médica Cardiologista e Clínica Médica. Centro de Cardiologia Integrada,309,309,1308,False,Seguir,0,clinicavidacfs.csv,2025-08-02,51,,False,Pública,0,,,False,0.0,0.0,0.0,309,Iniciante,1308,,,Empresa / Comércio,Não,Indefinido
clinicavidacfs,,"clinicavidacfs 5. 5. 3. 3. Clínica Vida | Confresa - MT Centro médico Diversas especialidades, um só propósito: cuidar de você Confresa - MT. Diretora Médica Dra. Danila Assis. CRM: ... mais linktr.ee/clinicavida_ e mais 1 Clínica Vida | Confresa - MT Centro médico Diversas especialidades, um só propósito: cuidar de você Confresa - MT. Diretora Médica Dra. Danila Assis. CRM: ... mais Diversas especialidades, um só propósito: cuidar de você Confresa - MT. Diretora Médica Dra. Danila Assis. CRM: ... mais mais linktr.ee/clinicavida_ e mais 1 Saúde Informativos Informativo Clinica Vida Ressonancia Mag Vacinas Tomografia Raio x digital Exames Ultrassonografia Terapia Capilar Saúde Informativos Informativo Clinica Vida Ressonancia Mag Vacinas Tomografia Raio x digital Exames Ultrassonografia Terapia Capilar",368,368,5705,False,Seguir,0,clinicavidacfs.csv,2025-08-02,25,,False,Pública,0,,,False,0.0,0.0,0.0,368,Iniciante,5705,,MT,Empresa / Comércio,Não,Indefinido
clinicavitanx,,linktr.ee/clinicavitanx clinicavitanx 2. 2. Clínica Vita | Nova Xavantina Clínica de saúde humanizada em Nova Xavantina () - ou - Marque sua consulta Equipe,728,728,2665,False,Seguir,0,clinicavidacfs.csv,2025-08-02,11,,False,Pública,0,,,False,0.0,0.0,0.0,728,Iniciante,2665,,,Empresa / Comércio,Não,Indefinido
fernandafonsseca,,fernandafonsseca 1. 1. 3. 3. Fernanda Fonseca Administradora Especialista em Pequenos Negócios Ajudando empresa a crescer com eficiência. Fernanda Fonseca Administradora Especialista em Pequenos Negócios Ajudando empresa a crescer com eficiência. Trabalho Fê Trabalho Fê,153,153,1633,False,Seguir,0,clinicavidacfs.csv,2025-08-02,9,,False,Pública,0,,,False,0.0,0.0,0.0,153,Iniciante,1633,,,Empresa / Comércio,Não,Indefinido
ccdraannaleticiamello,,youtube.com/?si=_rwZWz70JyvQtHBs ccdraannaleticiamello 1. 1. 3. 3. Centro de Cardiologia Dra Anna Leticia Produto/serviço Dra Anna Leticia Mello - Cardiologista CRM MT: RQE: Atendimento Clínica Vida: WhatsApp: ... mais Dra Anna Leticia Mello - Cardiologista CRM MT: RQE: Atendimento Clínica Vida: WhatsApp: ... mais mais,63,63,1560,False,Seguir,0,clinicavidacfs.csv,2025-08-02,58,,False,Pública,0,,,False,0.0,0.0,0.0,63,Iniciante,1560,,MT,Empresa / Comércio,Não,Indefinido
greenmedicalservice,,greenmedicalservice 6 6 Green Medical Service M.R.I Especialist ‍ Manutenção Preventiva e Corretiva ‍ Engenharia Clínica Sumaré e mais 1 Green Medical Service M.R.I Especialist ‍ Manutenção Preventiva e Corretiva ‍ Engenharia Clínica Sumaré e mais 1,6,6,105,False,Seguir,0,clinicavidacfs.csv,2025-08-02,3,,False,Pública,0,,,False,0.0,0.0,0.0,6,Iniciante,105,,,Empresa / Comércio,Sim,Indefinido
dra.vaniamoraes,,dra.vaniamoraes Dra. Vania Moraes |Pediatra Medicina e saúde Mãe do Murilo e da Ana B Ajudando a cuidar de quem você mais ama CRM MT-RQE Agendamentos: ()-... mais Dra. Vania Moraes |Pediatra Medicina e saúde Mãe do Murilo e da Ana B Ajudando a cuidar de quem você mais ama CRM MT-RQE Agendamentos: ()-... mais Mãe do Murilo e da Ana B Ajudando a cuidar de quem você mais ama CRM MT-RQE Agendamentos: ()- ... mais mais A ped Intro. Alimentar Vacinas A gente conversa Receitinhas A ped Intro. Alimentar Vacinas A gente conversa Receitinhas,52,52,392,False,Seguir,0,clinicavidacfs.csv,2025-08-02,5,,False,Pública,0,,,False,0.0,0.0,0.0,52,Iniciante,392,,MT,Empresa / Comércio,Sim,Indefinido
willlpires,,willlpires 7. 7. 3. 3. Willian Pires | Marketing e Mentoria para Clínicas ... mais mais e mais 1 + +Clínicas ‍ fezcomo ‍ + +Clínicas ‍ fezcomo ‍,609,609,7385,False,Seguir,0,clinicavidacfs.csv,2025-08-02,4,https://www.threads.com/@willlpires?xmt=AQF0JrXpMTj7CkOv5gZtcjYyDp1D8JhMir_thibCVXmNBWE,False,Pública,0,,,False,0.0,0.0,0.0,609,Iniciante,7385,,,Empresa / Comércio,Não,Indefinido
aipededelivery.cfs,,aipededelivery.cfs Aipede Delivery em Confresa Empreendedor(a) NOVO APP DE DELIVERY EM CONFRESA MELHORES ESTABELECIMENTOS BAIXE NOSSO APP E CONFIRA play.google.com/store/apps/details?id=com.donodoapp.aipededelivery e mais 2 Aipede Delivery em Confresa Empreendedor(a) NOVO APP DE DELIVERY EM CONFRESA MELHORES ESTABELECIMENTOS BAIXE NOSSO APP E CONFIRA play.google.com/store/apps/details?id=com.donodoapp.aipededelivery e mais 2 Equipe aipede motoboys promoções AIPEDE AIPEDE BAIXE AGORA Equipe aipede motoboys promoções AIPEDE BAIXE AGORA,97,97,742,False,Seguir,0,clinicavidacfs.csv,2025-08-02,1,,False,Pública,0,,,False,0.0,0.0,0.0,97,Iniciante,742,,,Empresa / Comércio,Não,Indefinido
