username,nome_completo,bio,n_publicacoes,n_seguidores,n_seguindo,data_post,texto_post,verificado,url_foto_perfil,status_relacao,link_externo,verificado_extra,status_conta,n_seguidores_num,nivel_influencia,n_seguindo_num,cidade,estado,tipo_perfil,eh_estudante,genero_inferido
anappaulaalves30,Anappaulaalves30,1.055 1.055 7.446 7.446 Ana Paula Alves Filha de N. Senhora ADM Esp. Gestão Empresarial Esp. Liderança Estratégica e Desenv... mais Ana Paula Alves Filha de N. Senhora ADM Esp. Gestão Empresarial Esp. Liderança Estratégica e Desenv... mais Filha de N. Senhora ADM Esp. Gestão Empresarial Esp. Liderança Estratégica e Desenv ... mais mais,217,217,1055,2024-12-16T18:00:36.000Z,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/517317683_18418040662102289_6779342722466187860_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=bNpGGWKuopUQ7kNvwF8KOJM&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQ_YXOdNC8WgCjN0-RyDaBPYeWfbc2kIgqeavnKakTavQ&oe=6883271C&_nc_sid=8809c9,Seguir,,False,Pública,217,Iniciante,1055,,,Empresa / Comércio,Sim,Indefinido
millena_azeved0,Millena_Azeved0,1.39 1.39 1.394 1.394 Millena Azevedo M. Santos •Administradora •Especialista em Pequenos Negócios “Tudo Posso Naquele Q Me Fortalece”🤍 Victhortavares,5,5,1395,2024-12-16T18:00:36.000Z,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/517431519_18353677585158051_7242981048137500819_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=103&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=k3i0ckiiuNUQ7kNvwEqFam4&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfRCL1m1Le29xJM6vvPbtGnI-MC63PBaUIOoV00_bd5eZA&oe=68833D20&_nc_sid=8809c9,Seguir,https://www.threads.com/@millena_azeved0?xmt=AQF0jJvFN5vbGa-fjVeh5B6H-femh52DSMtOYe3dwJGzYzY,False,Pública,5,Iniciante,1395,,,Empresa / Comércio,Não,Indefinido
pazluis2013,Pazluis2013,1.416 1.416 Luis Paz Executivo de Negócios Tv Anhanguera Luis Paz Executivo de Negócios Tv Anhanguera,48,48,493,2024-12-16T18:00:36.000Z,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/476416798_977427790965115_4690537509712492029_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=4zuka-ckL2EQ7kNvwFPWUVD&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQj3lVebft_y5i9DMgPlZjgx_Yy_naZ5iz6sJFZw-stow&oe=68830BA8&_nc_sid=8809c9,Seguir,,False,Pública,48,Iniciante,493,,,Empresa / Comércio,Não,Indefinido
wellensohn_bastos,Wellensohn_Bastos,1.177 1.177 Wellensohn Bruno Economista Agente de Orientação Empresarial - AOE Pai de um lindo garoto Benício. Momentos Momentos Sebrae Dia Feliz Destaques Momentos Momentos Sebrae Dia Feliz Destaques,31,31,598,2024-12-16T18:00:36.000Z,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/251838788_308908014288362_2350339960065567297_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=102&_nc_oc=Q6cZ2QEtktOBiJxDoPEcmqN_YZNOm8AVJbPrCIo0x5aO-jL8WpBb-UW9bp93O5C-tB86AoI&_nc_ohc=DAFgvyFAYgAQ7kNvwH6GOc3&_nc_gid=iFh5Ib8HTs6hddC9bvxwXw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQW_bw9usdhwkDFwLbcYiKeCtxaM7Ir8dL8KKdT01fM9A&oe=688336E7&_nc_sid=8809c9,Seguir,https://www.threads.com/@wellensohn_bastos?xmt=AQF06pPsY4GKeL4YSp4aAA0f1Rcr15StdTU51cW6rjln-d8,False,Pública,31,Iniciante,598,,,Empresa / Comércio,Não,Indefinido
laurenicemesquita,Laurenicemesquita,"1.090 1.090 1.116 1.116 Laurenice Mesquita São Luís/Palmas-TO Economista Especialista em Gestão de Negócios ""Se não houvesse amor, de nada valeria"" Laurenice Mesquita São Luís/Palmas-TO Economista Especialista em Gestão de Negócios ""Se não houvesse amor, de nada valeria""",417,417,1090,2024-12-16T13:00:37.000Z,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/320424660_1189111965147523_722821783745017768_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QE9CQ_d8_sp5OAzSCiX2sXcUECGnmh0trq58oUkopZlveetmBbZ2WVDE2ikXv1lgK0&_nc_ohc=aEFj2--kuj0Q7kNvwEjSgtm&_nc_gid=eANW9x28MQOZYCPCehk6Rw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfTa0C5MSMbDIxu300gpurcR1NCQFF6h6q9vvgjU6sCDPw&oe=6883334E&_nc_sid=8809c9,Seguir,,False,Pública,417,Iniciante,1090,Palmas,SE,Empresa / Comércio,Não,Indefinido
djs.solucoess,Djs.Solucoess,"www.linkedin.com/company/djs-solu%C3%A7%C3%B5es 391 391 DJS Soluções - Consultoria e Assessoria Estratégias ESG Sustentabilidade Corporativa Indústrias, Agroindústrias, Comércios e Poder Público... mais Estratégias ESG Sustentabilidade Corporativa Indústrias, Agroindústrias, Comércios e Poder Público ... mais mais Dia D Dia D Eventos Parceiros Soluções Dia D Eventos Parceiros Soluções",90,90,469,2024-12-16T13:00:37.000Z,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/429731859_314803918262208_7802693562566903224_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=100&_nc_oc=Q6cZ2QE9CQ_d8_sp5OAzSCiX2sXcUECGnmh0trq58oUkopZlveetmBbZ2WVDE2ikXv1lgK0&_nc_ohc=ixx_rQNdljEQ7kNvwFhGMrs&_nc_gid=eANW9x28MQOZYCPCehk6Rw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfTrI-111sGLSVu3Z5TSItICA6CAMwtEh4Ge-PIMry-QXA&oe=68832A34&_nc_sid=8809c9,Seguir,,False,Pública,90,Iniciante,469,,,Empresa / Comércio,Não,Indefinido
fabrizziajunqueira,Fabrizziajunqueira,5.979 5.979 2.577 2.577 by Fabrizzia Wanderlei‍ Eng.Alimentos.Transformando negócios de Alimentação/Orgulho em Nutrir c/ qualidade segurança Consultora Alimentação... mais Eng.Alimentos.Transformando negócios de Alimentação/Orgulho em Nutrir c/ qualidade segurança Consultora Alimentação ... mais mais api.whatsapp.com/send?phone=5563984065306 São Paulo Fispal2022 Risotolowcarb Bolodefubá zero Bate papotaolev São Paulo Fispal2022 Risotolowcarb Bolodefubá zero Bate papotaolev,925,925,5979,2024-12-16T13:00:37.000Z,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/307673531_807568826955667_75805659510611760_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=107&_nc_oc=Q6cZ2QE9CQ_d8_sp5OAzSCiX2sXcUECGnmh0trq58oUkopZlveetmBbZ2WVDE2ikXv1lgK0&_nc_ohc=KWY7Caw8Cr8Q7kNvwEuDPt7&_nc_gid=eANW9x28MQOZYCPCehk6Rw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQAIt3AWRe77uKtyXceZuhmqmMpFxWCiyi7zr6d5WIiMQ&oe=68831B27&_nc_sid=8809c9,Seguir,,False,Pública,925,Iniciante,5979,São Paulo,,Empresa / Comércio,Não,Indefinido
cristinnaariella,Cristinnaariella,1.047 1.047 1.039 1.039 Cris I live for God Gestão Publica Apaixonada pelas belezas do Tocantins,44,44,1047,2024-12-16T13:00:37.000Z,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/513997120_18285807031269868_5387910209544736842_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=104&_nc_oc=Q6cZ2QE9CQ_d8_sp5OAzSCiX2sXcUECGnmh0trq58oUkopZlveetmBbZ2WVDE2ikXv1lgK0&_nc_ohc=c09hepFlKpcQ7kNvwFxhQUJ&_nc_gid=eANW9x28MQOZYCPCehk6Rw&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfTf90X_sfYVw1aocHeSG9dePgs5Ny6z0AJz6rJUh8zA9g&oe=688309F7&_nc_sid=8809c9,Seguir,https://www.threads.com/@cristinnaariella?xmt=AQF0ZG1JTLy6UxQ_E_h4OsdDTKQVUOPmfPtCjNhp4W8SJiw,False,Pública,44,Iniciante,1047,,,Empresa / Comércio,Não,Indefinido
m4uricioferreira,M4Uricioferreira,2.062 2.062 6.548 6.548 Mauricio Ferreira AM SP SE Sebrae Amazonas Agência Duet AM SP SE Sebrae Amazonas Agência Duet,130,130,2062,2025-04-07T20:47:38.000Z,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/503040842_18079344505801141_1192406274241203976_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=101&_nc_oc=Q6cZ2QFgUU03GnZsSqhgKwDQt73tVw95oi2vIergpwCytScs4ZZIi1i6ZMbhejpGXuTpn6U&_nc_ohc=vGaqMATn-_IQ7kNvwEBlNPH&_nc_gid=SEZsj640cPI9lOIdRQCkNg&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfQBXYMpx1CRSv08dkJ-K-6GVflYjPYU69nx-nquxJvCnw&oe=6883262D&_nc_sid=8809c9,Seguir,https://www.facebook.com/profile.php?id=100010290705453&ref=_ig_profile_ac,False,Pública,130,Iniciante,2062,,AM,Empresa / Comércio,Não,Indefinido
resil.engenharia,Resil.Engenharia,592 592 Resil Engenharia Empreendedor(a) Você ainda paga pela sua energia elétrica?? Serviços de Construção Civil Soluções Energéticas Solicite um... mais Você ainda paga pela sua energia elétrica?? Serviços de Construção Civil Soluções Energéticas Solicite um ... mais mais tinyurl.com/3xuvh5pr Clientes Contato Intersolar 2024 Projetos Curiosidades Feedback Sobre Nós Localização Clientes Contato Intersolar 2024 Projetos Curiosidades Feedback Sobre Nós Localização,115,115,291,2024-07-22T21:00:17.000Z,,False,https://instagram.fbsb23-1.fna.fbcdn.net/v/t51.2885-19/284072460_712339016650985_7172528017509846446_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=instagram.fbsb23-1.fna.fbcdn.net&_nc_cat=105&_nc_oc=Q6cZ2QHYQYfYV488f5WoFt55pMKtJiUR3at-xHsWAhHVQI295_Tx83OOJEP-_bqiauThB0I&_nc_ohc=hTwMOuv4REcQ7kNvwEKHgJ6&_nc_gid=pupmCstH7GyEnNi3lvzB5Q&edm=APwHDrQBAAAA&ccb=7-5&oh=00_AfR2abdI7cOklrIb_5m3pofyYbDdyeRUGrrhhwsmgMJeEw&oe=68830DDE&_nc_sid=8809c9,Seguir,,False,Pública,115,Iniciante,291,,,Empresa / Comércio,Sim,Indefinido
